molregno	level5	level1_description	level2_description	level3_description	level4_description
2096389	J01GA02	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	AMINOGLYCOSIDE ANTIBACTERIALS	Streptomycins
2096428	A12CB02	ALIMENTARY TRACT AND METABOLISM	MINERAL SUPPLEMENTS	OTHER MINERAL SUPPLEMENTS	Zinc
1626740	L01XX52	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
104846	J01DE02	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	OTHER BETA-LACTAM ANTIBACTERIALS	Fourth-generation cephalosporins
1042736	J01CA15	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	Penicillins with extended spectrum
1592408	S02AA14	SENSORY ORGANS	OTOLOGICALS	ANTIINFECTIVES	Antiinfectives
663100	C01DX18	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Other vasodilators used in cardiac diseases
2197622	A01AB08	ALIMENTARY TRACT AND METABOLISM	STOMATOLOGICAL PREPARATIONS	STOMATOLOGICAL PREPARATIONS	Antiinfectives and antiseptics for local oral treatment
513323	V04CC01	VARIOUS	DIAGNOSTIC AGENTS	OTHER DIAGNOSTIC AGENTS	Tests for bile duct patency
56644	L01AB01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	ALKYLATING AGENTS	Alkyl sulfonates
699395	N02AX02	NERVOUS SYSTEM	ANALGESICS	OPIOIDS	Other opioids
78303	A02BA53	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR ACID RELATED DISORDERS	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	H2-receptor antagonists
1383388	A03AB11	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	Synthetic anticholinergics, quaternary ammonium compounds
675085	A06AX03	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR CONSTIPATION	DRUGS FOR CONSTIPATION	Other drugs for constipation
429204	A11HA04	ALIMENTARY TRACT AND METABOLISM	VITAMINS	OTHER PLAIN VITAMIN PREPARATIONS	Other plain vitamin preparations
255534	M01AE04	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Propionic acid derivatives
1376032	R02AA01	RESPIRATORY SYSTEM	THROAT PREPARATIONS	THROAT PREPARATIONS	Antiseptics
1363818	A14AA02	ALIMENTARY TRACT AND METABOLISM	ANABOLIC AGENTS FOR SYSTEMIC USE	ANABOLIC STEROIDS	Androstan derivatives
820061	J01CE10	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	Beta-lactamase sensitive penicillins
2096441	A02AD03	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR ACID RELATED DISORDERS	ANTACIDS	Combinations and complexes of aluminium, calcium and magnesium compounds
1379651	A16AX13	ALIMENTARY TRACT AND METABOLISM	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	Various alimentary tract and metabolism products
1671611	C05CA54	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	CAPILLARY STABILIZING AGENTS	Bioflavonoids
558106	J01DD01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	OTHER BETA-LACTAM ANTIBACTERIALS	Third-generation cephalosporins
1383335	D11AC09	DERMATOLOGICALS	OTHER DERMATOLOGICAL PREPARATIONS	OTHER DERMATOLOGICAL PREPARATIONS	Medicated shampoos
453487	C03CX01	CARDIOVASCULAR SYSTEM	DIURETICS	HIGH-CEILING DIURETICS	Other high-ceiling diuretics
2197764	A01AB16	ALIMENTARY TRACT AND METABOLISM	STOMATOLOGICAL PREPARATIONS	STOMATOLOGICAL PREPARATIONS	Antiinfectives and antiseptics for local oral treatment
675603	V08CB01	VARIOUS	CONTRAST MEDIA	MAGNETIC RESONANCE IMAGING CONTRAST MEDIA	Superparamagnetic contrast media
2197622	S02AA07	SENSORY ORGANS	OTOLOGICALS	ANTIINFECTIVES	Antiinfectives
641189	D07AD01	DERMATOLOGICALS	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	CORTICOSTEROIDS, PLAIN	Corticosteroids, very potent (group IV)
359952	J04AD02	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIMYCOBACTERIALS	DRUGS FOR TREATMENT OF TUBERCULOSIS	Thiocarbamide derivatives
23522	J04AK01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIMYCOBACTERIALS	DRUGS FOR TREATMENT OF TUBERCULOSIS	Other drugs for treatment of tuberculosis
92412	N04BX02	NERVOUS SYSTEM	ANTI-PARKINSON DRUGS	DOPAMINERGIC AGENTS	Other dopaminergic agents
141484	N03AG04	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Fatty acid derivatives
875057	N02BA09	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Salicylic acid and derivatives
374052	S02BA01	SENSORY ORGANS	OTOLOGICALS	CORTICOSTEROIDS	Corticosteroids
625642	C04AC03	CARDIOVASCULAR SYSTEM	PERIPHERAL VASODILATORS	PERIPHERAL VASODILATORS	Nicotinic acid and derivatives
1121866	L04AC09	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Interleukin inhibitors
1376877	R07AB52	RESPIRATORY SYSTEM	OTHER RESPIRATORY SYSTEM PRODUCTS	OTHER RESPIRATORY SYSTEM PRODUCTS	Respiratory stimulants
1376031	C08CA12	CARDIOVASCULAR SYSTEM	CALCIUM CHANNEL BLOCKERS	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS	Dihydropyridine derivatives
421059	H02AB03	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS	CORTICOSTEROIDS FOR SYSTEMIC USE	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	Glucocorticoids
453655	C09AA08	CARDIOVASCULAR SYSTEM	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	ACE INHIBITORS, PLAIN	ACE inhibitors, plain
150743	N06AF05	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Monoamine oxidase inhibitors, non-selective
99389	N05BC51	NERVOUS SYSTEM	PSYCHOLEPTICS	ANXIOLYTICS	Carbamates
16581	N01BA52	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, LOCAL	Esters of aminobenzoic acid
366279	N03AX11	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Other antiepileptics
11775	C01CA10	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES	Adrenergic and dopaminergic agents
448986	A10BF01	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	Alpha glucosidase inhibitors
104574	A11CA01	ALIMENTARY TRACT AND METABOLISM	VITAMINS	VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO	Vitamin A, plain
499179	L01XX42	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
187696	D07XC03	DERMATOLOGICALS	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	CORTICOSTEROIDS, OTHER COMBINATIONS	Corticosteroids, potent, other combinations
1376245	H01CB04	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS	PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES	HYPOTHALAMIC HORMONES	Somatostatin and analogues
34197	N05AH03	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Diazepines, oxazepines, thiazepines and oxepines
1378461	C05BX51	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	ANTIVARICOSE THERAPY	Other sclerosing agents
27569	C07AB12	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, selective
555972	J01DB01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	OTHER BETA-LACTAM ANTIBACTERIALS	First-generation cephalosporins
876580	M02AA16	MUSCULO-SKELETAL SYSTEM	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	Antiinflammatory preparations, non-steroids for topical use
118617	M02AA21	MUSCULO-SKELETAL SYSTEM	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	Antiinflammatory preparations, non-steroids for topical use
1377887	C01BA05	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	ANTIARRHYTHMICS, CLASS I AND III	Antiarrhythmics, class Ia
171866	M02AX05	MUSCULO-SKELETAL SYSTEM	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	Other topical products for joint and muscular pain
675343	D07XB01	DERMATOLOGICALS	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	CORTICOSTEROIDS, OTHER COMBINATIONS	Corticosteroids, moderately potent, other combinations
1381061	J07AH07	ANTIINFECTIVES FOR SYSTEMIC USE	VACCINES	BACTERIAL VACCINES	Meningococcal vaccines
699374	M05BX04	MUSCULO-SKELETAL SYSTEM	DRUGS FOR TREATMENT OF BONE DISEASES	DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION	Other drugs affecting bone structure and mineralization
29860	M01AG03	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Fenamates
1620	A02BA01	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR ACID RELATED DISORDERS	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	H2-receptor antagonists
755100	A03BA03	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	BELLADONNA AND DERIVATIVES, PLAIN	Belladonna alkaloids, tertiary amines
8873	A07AA07	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ANTIINFECTIVES	Antibiotics
1763652	C05CX01	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	CAPILLARY STABILIZING AGENTS	Other capillary stabilizing agents
371631	J01DB04	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	OTHER BETA-LACTAM ANTIBACTERIALS	First-generation cephalosporins
581819	R03DA51	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	Xanthines
835925	A08AA07	ALIMENTARY TRACT AND METABOLISM	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	Centrally acting antiobesity products
1606408	R05DA12	RESPIRATORY SYSTEM	COUGH AND COLD PREPARATIONS	COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS	Opium alkaloids and derivatives
674917	J04AA02	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIMYCOBACTERIALS	DRUGS FOR TREATMENT OF TUBERCULOSIS	Aminosalicylic acid and derivatives
1204086	V03AF09	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Detoxifying agents for antineoplastic treatment
50440	B01AC23	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Platelet aggregation inhibitors excl. heparin
27629	R06AA02	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Aminoalkyl ethers
453536	L01XX11	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
1381467	J07BE01	ANTIINFECTIVES FOR SYSTEMIC USE	VACCINES	VIRAL VACCINES	Mumps vaccines
916384	N06AA16	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Non-selective monoamine reuptake inhibitors
1383604	C01DA09	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Organic nitrates
1377314	R05CB09	RESPIRATORY SYSTEM	COUGH AND COLD PREPARATIONS	EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS	Mucolytics
150313	H02AB09	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS	CORTICOSTEROIDS FOR SYSTEMIC USE	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	Glucocorticoids
1592408	J01GB03	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	AMINOGLYCOSIDE ANTIBACTERIALS	Other aminoglycosides
70795	J01MA10	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Fluoroquinolones
16973	D01AC10	DERMATOLOGICALS	ANTIFUNGALS FOR DERMATOLOGICAL USE	ANTIFUNGALS FOR TOPICAL USE	Imidazole and triazole derivatives
9913	M02AA05	MUSCULO-SKELETAL SYSTEM	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	Antiinflammatory preparations, non-steroids for topical use
675431	S01XA13	SENSORY ORGANS	OPHTHALMOLOGICALS	OTHER OPHTHALMOLOGICALS	Other ophthalmologicals
674713	H02AB01	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS	CORTICOSTEROIDS FOR SYSTEMIC USE	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	Glucocorticoids
1376626	N05BA10	NERVOUS SYSTEM	PSYCHOLEPTICS	ANXIOLYTICS	Benzodiazepine derivatives
1159	J01EB06	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Short-acting sulfonamides
1377669	J01EC03	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Intermediate-acting sulfonamides
153330	J01ED08	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Long-acting sulfonamides
122859	C01CX07	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES	Other cardiac stimulants
1078592	C01AA08	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	CARDIAC GLYCOSIDES	Digitalis glycosides
675725	A16AX07	ALIMENTARY TRACT AND METABOLISM	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	Various alimentary tract and metabolism products
1121863	L01XC19	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
675772	V03AF08	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Detoxifying agents for antineoplastic treatment
570147	J01FA09	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS	Macrolides
27624	N02AA05	NERVOUS SYSTEM	ANALGESICS	OPIOIDS	Natural opium alkaloids
685195	A03AB18	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	Synthetic anticholinergics, quaternary ammonium compounds
27152	C05AA05	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	Corticosteroids
255477	C01BA71	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	ANTIARRHYTHMICS, CLASS I AND III	Antiarrhythmics, class Ia
293438	A08AB01	ALIMENTARY TRACT AND METABOLISM	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	Peripherally acting antiobesity products
112480	V03AF05	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Detoxifying agents for antineoplastic treatment
10389	P01BA03	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	ANTIMALARIALS	Aminoquinolines
320522	P01BB51	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	ANTIMALARIALS	Biguanides
675783	B02BX04	BLOOD AND BLOOD FORMING ORGANS	ANTIHEMORRHAGICS	VITAMIN K AND OTHER HEMOSTATICS	Other systemic hemostatics
27029	C04AD03	CARDIOVASCULAR SYSTEM	PERIPHERAL VASODILATORS	PERIPHERAL VASODILATORS	Purine derivatives
954312	A01AC02	ALIMENTARY TRACT AND METABOLISM	STOMATOLOGICAL PREPARATIONS	STOMATOLOGICAL PREPARATIONS	Corticosteroids for local oral treatment
554800	V08AB05	VARIOUS	CONTRAST MEDIA	X-RAY CONTRAST MEDIA, IODINATED	Watersoluble, nephrotropic, low osmolar X-ray contrast media
798244	D08AK03	DERMATOLOGICALS	ANTISEPTICS AND DISINFECTANTS	ANTISEPTICS AND DISINFECTANTS	Mercurial products
221924	J01EA03	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Trimethoprim and derivatives
321737	J01MB07	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Other quinolones
1380776	L03AB02	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSTIMULANTS	IMMUNOSTIMULANTS	Interferons
12494	N04BC02	NERVOUS SYSTEM	ANTI-PARKINSON DRUGS	DOPAMINERGIC AGENTS	Dopamine agonists
1377058	N02BA16	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Salicylic acid and derivatives
35538	N02BB54	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Pyrazolones
2039306	A02AB05	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR ACID RELATED DISORDERS	ANTACIDS	Aluminium compounds
1383506	R06AD09	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Phenothiazine derivatives
370289	S01FA03	SENSORY ORGANS	OPHTHALMOLOGICALS	MYDRIATICS AND CYCLOPLEGICS	Anticholinergics
208749	N01BB54	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, LOCAL	Amides
454084	D06AA01	DERMATOLOGICALS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	ANTIBIOTICS FOR TOPICAL USE	Tetracycline and derivatives
365281	H02AB02	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS	CORTICOSTEROIDS FOR SYSTEMIC USE	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	Glucocorticoids
2431	N05BA02	NERVOUS SYSTEM	PSYCHOLEPTICS	ANXIOLYTICS	Benzodiazepine derivatives
675419	L04AC02	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Interleukin inhibitors
21741	V03AB20	VARIOUS	ALL OTHER THERAPEUTIC PRODUCTS	ALL OTHER THERAPEUTIC PRODUCTS	Antidotes
70140	A07AA09	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ANTIINFECTIVES	Antibiotics
116349	C09CA06	CARDIOVASCULAR SYSTEM	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	ANGIOTENSIN II ANTAGONISTS, PLAIN	Angiotensin II antagonists, plain
2327	N05CA01	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Barbiturates, plain
70239	D08AF01	DERMATOLOGICALS	ANTISEPTICS AND DISINFECTANTS	ANTISEPTICS AND DISINFECTANTS	Nitrofuran derivatives
410802	G04BE03	GENITO URINARY SYSTEM AND SEX HORMONES	UROLOGICALS	UROLOGICALS	Drugs used in erectile dysfunction
16735	N01BA05	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, LOCAL	Esters of aminobenzoic acid
150722	M01AB06	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Acetic acid derivatives and related substances
1376552	C01DX09	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Other vasodilators used in cardiac diseases
675534	A10AE01	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	INSULINS AND ANALOGUES	Insulins and analogues for injection, long-acting
1381032	P03AC01	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS	ECTOPARASITICIDES, INCL. SCABICIDES	Pyrethrines, incl. synthetic compounds
1354	S01ED52	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Beta blocking agents 1)
26722	D01AE22	DERMATOLOGICALS	ANTIFUNGALS FOR DERMATOLOGICAL USE	ANTIFUNGALS FOR TOPICAL USE	Other antifungals for topical use
33373	C02CA04	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING	Alpha-adrenoreceptor antagonists
53118	N06AB07	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Selective serotonin reuptake inhibitors
27342	N06BA09	NERVOUS SYSTEM	PSYCHOANALEPTICS	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	Centrally acting sympathomimetics
675731	A16AA05	ALIMENTARY TRACT AND METABOLISM	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	Amino acids and derivatives
454015	C01DA07	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Organic nitrates
421350	A08AA04	ALIMENTARY TRACT AND METABOLISM	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	Centrally acting antiobesity products
712273	G03XB51	GENITO URINARY SYSTEM AND SEX HORMONES	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	Progesterone receptor modulators
2039180	C01DA04	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Organic nitrates
650126	L01XE13	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors
674366	V09BA01	VARIOUS	DIAGNOSTIC RADIOPHARMACEUTICALS	SKELETON	Technetium (99mTc) compounds
674617	D05AX02	DERMATOLOGICALS	ANTIPSORIATICS	ANTIPSORIATICS FOR TOPICAL USE	Other antipsoriatics for topical use
675581	L01XC03	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies
13928	D10BA01	DERMATOLOGICALS	ANTI-ACNE PREPARATIONS	ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE	Retinoids for treatment of acne
875057	N02BA59	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Salicylic acid and derivatives
708075	J05AP08	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIVIRALS FOR SYSTEMIC USE	DIRECT ACTING ANTIVIRALS	Antivirals for treatment of HCV infections
9913	R02AX03	RESPIRATORY SYSTEM	THROAT PREPARATIONS	THROAT PREPARATIONS	Other throat preparations
1376137	A06AX07	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR CONSTIPATION	DRUGS FOR CONSTIPATION	Other drugs for constipation
178290	A16AX14	ALIMENTARY TRACT AND METABOLISM	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	Various alimentary tract and metabolism products
2039237	L01XE42	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors
1763534	M09AX07	MUSCULO-SKELETAL SYSTEM	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM	Other drugs for disorders of the musculo-skeletal system
1078605	N02BE04	NERVOUS SYSTEM	ANALGESICS	OTHER ANALGESICS AND ANTIPYRETICS	Anilides
675168	R02AD04	RESPIRATORY SYSTEM	THROAT PREPARATIONS	THROAT PREPARATIONS	Anesthetics, local
8917	A01AB09	ALIMENTARY TRACT AND METABOLISM	STOMATOLOGICAL PREPARATIONS	STOMATOLOGICAL PREPARATIONS	Antiinfectives and antiseptics for local oral treatment
577826	S01AA05	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Antibiotics
1285394	S01EE05	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Prostaglandin analogues 1)
365248	C08CA06	CARDIOVASCULAR SYSTEM	CALCIUM CHANNEL BLOCKERS	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS	Dihydropyridine derivatives
8209	N06AX22	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Other antidepressants
