molregno	level5	level1_description	level2_description	level3_description	level4_description
28976	S01EA51	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Sympathomimetics in glaucoma therapy 1)
28976	S01EA01	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Sympathomimetics in glaucoma therapy 1)
28976	R03AA01	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS, INHALANTS	Alpha- and beta-adrenoreceptor agonists
28976	C01CA24	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES	Adrenergic and dopaminergic agents
28976	A01AD01	ALIMENTARY TRACT AND METABOLISM	STOMATOLOGICAL PREPARATIONS	STOMATOLOGICAL PREPARATIONS	Other agents for local oral treatment
29090	N01AX07	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, GENERAL	Other general anesthetics
29097	P01BA06	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	ANTIMALARIALS	Aminoquinolines
29569	P02CB02	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTHELMINTICS	ANTINEMATODAL AGENTS	Piperazine and derivatives
29637	P02CA51	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTHELMINTICS	ANTINEMATODAL AGENTS	Benzimidazole derivatives
29637	P02CA01	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTHELMINTICS	ANTINEMATODAL AGENTS	Benzimidazole derivatives
29860	M01AG03	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Fenamates
29890	S01BC03	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFLAMMATORY AGENTS	Antiinflammatory agents, non-steroids
29890	M02AA15	MUSCULO-SKELETAL SYSTEM	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	Antiinflammatory preparations, non-steroids for topical use
29890	D11AX18	DERMATOLOGICALS	OTHER DERMATOLOGICAL PREPARATIONS	OTHER DERMATOLOGICAL PREPARATIONS	Other dermatologicals
29890	M01AB05	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Acetic acid derivatives and related substances
29890	M01AB55	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Acetic acid derivatives and related substances
29989	M01AG01	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Fenamates
30096	R06AX04	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Other antihistamines for systemic use
30180	A06AD16	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR CONSTIPATION	DRUGS FOR CONSTIPATION	Osmotically acting laxatives
30180	R05CB16	RESPIRATORY SYSTEM	COUGH AND COLD PREPARATIONS	EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS	Mucolytics
30180	B05BC01	BLOOD AND BLOOD FORMING ORGANS	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	I.V. SOLUTIONS	Solutions producing osmotic diuresis
30180	B05CX04	BLOOD AND BLOOD FORMING ORGANS	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	IRRIGATING SOLUTIONS	Other irrigating solutions
31171	C01DX52	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Other vasodilators used in cardiac diseases
31171	C01DX02	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Other vasodilators used in cardiac diseases
31241	G03CA01	GENITO URINARY SYSTEM AND SEX HORMONES	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	ESTROGENS	Natural and semisynthetic estrogens, plain
31241	L02AA03	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONES AND RELATED AGENTS	Estrogens
31289	N07XX07	NERVOUS SYSTEM	OTHER NERVOUS SYSTEM DRUGS	OTHER NERVOUS SYSTEM DRUGS	Other nervous system drugs
31422	A06AG04	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR CONSTIPATION	DRUGS FOR CONSTIPATION	Enemas
31422	A06AX01	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR CONSTIPATION	DRUGS FOR CONSTIPATION	Other drugs for constipation
31804	N03AC02	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Oxazolidine derivatives
31811	N03AD01	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Succinimide derivatives
31811	N03AD51	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Succinimide derivatives
31857	N03AD03	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Succinimide derivatives
32027	C05AD02	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	Local anesthetics
32027	S01HA03	SENSORY ORGANS	OPHTHALMOLOGICALS	LOCAL ANESTHETICS	Local anesthetics
32027	N01BA03	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, LOCAL	Esters of aminobenzoic acid
32027	D04AB06	DERMATOLOGICALS	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	Anesthetics for topical use
32459	N07CA01	NERVOUS SYSTEM	OTHER NERVOUS SYSTEM DRUGS	ANTIVERTIGO PREPARATIONS	Antivertigo preparations
32842	J01EB04	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	SULFONAMIDES AND TRIMETHOPRIM	Short-acting sulfonamides
32869	M03BX01	MUSCULO-SKELETAL SYSTEM	MUSCLE RELAXANTS	MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS	Other centrally acting agents
32978	D10AX02	DERMATOLOGICALS	ANTI-ACNE PREPARATIONS	ANTI-ACNE PREPARATIONS FOR TOPICAL USE	Other anti-acne preparations for topical use
32978	S01AX06	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Other antiinfectives
33055	J01CA12	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	Penicillins with extended spectrum
33060	M03AB01	MUSCULO-SKELETAL SYSTEM	MUSCLE RELAXANTS	MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS	Choline derivatives
33202	A07EC02	ALIMENTARY TRACT AND METABOLISM	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	INTESTINAL ANTIINFLAMMATORY AGENTS	Aminosalicylic acid and similar agents
33216	D11AH04	DERMATOLOGICALS	OTHER DERMATOLOGICAL PREPARATIONS	OTHER DERMATOLOGICAL PREPARATIONS	Agents for dermatitis, excluding corticosteroids
33216	L01XX22	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
33307	G04CA04	GENITO URINARY SYSTEM AND SEX HORMONES	UROLOGICALS	DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY	Alpha-adrenoreceptor antagonists
33373	C02CA04	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING	Alpha-adrenoreceptor antagonists
33466	C02CA02	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING	Alpha-adrenoreceptor antagonists
33576	L01XE12	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors
33583	N06AX07	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Other antidepressants
33664	N05AE04	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Indole derivatives
33667	G04CA01	GENITO URINARY SYSTEM AND SEX HORMONES	UROLOGICALS	DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY	Alpha-adrenoreceptor antagonists
33679	G04CB01	GENITO URINARY SYSTEM AND SEX HORMONES	UROLOGICALS	DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY	Testosterone-5-alpha reductase inhibitors
33679	D11AX10	DERMATOLOGICALS	OTHER DERMATOLOGICAL PREPARATIONS	OTHER DERMATOLOGICAL PREPARATIONS	Other dermatologicals
33727	B01AA02	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Vitamin K antagonists
33810	B01AA12	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Vitamin K antagonists
33889	J05AF10	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIVIRALS FOR SYSTEMIC USE	DIRECT ACTING ANTIVIRALS	Nucleoside and nucleotide reverse transcriptase inhibitors
33986	J05AF05	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIVIRALS FOR SYSTEMIC USE	DIRECT ACTING ANTIVIRALS	Nucleoside and nucleotide reverse transcriptase inhibitors
34094	R03CC02	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS FOR SYSTEMIC USE	Selective beta-2-adrenoreceptor agonists
34094	R03AC02	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS, INHALANTS	Selective beta-2-adrenoreceptor agonists
34197	N05AH03	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Diazepines, oxazepines, thiazepines and oxepines
34234	N05AH04	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Diazepines, oxazepines, thiazepines and oxepines
34266	N05AX11	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Other antipsychotics
34350	N05BA03	NERVOUS SYSTEM	PSYCHOLEPTICS	ANXIOLYTICS	Benzodiazepine derivatives
34608	L02AB02	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONES AND RELATED AGENTS	Progestogens
34608	G03DA02	GENITO URINARY SYSTEM AND SEX HORMONES	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	PROGESTOGENS	Pregnen (4) derivatives
34608	G03AC06	GENITO URINARY SYSTEM AND SEX HORMONES	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE	Progestogens
34949	N05AD06	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Butyrophenone derivatives
35271	D06AX09	DERMATOLOGICALS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	ANTIBIOTICS FOR TOPICAL USE	Other antibiotics for topical use
35271	R01AX06	RESPIRATORY SYSTEM	NASAL PREPARATIONS	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	Other nasal preparations
35486	P03AX06	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS	ECTOPARASITICIDES, INCL. SCABICIDES	Other ectoparasiticides, incl. scabicides
36502	C07AB08	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, selective
36633	C07AA16	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, non-selective
36662	C07AG02	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Alpha and beta blocking agents
36842	N05AB02	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Phenothiazines with piperazine structure
36864	L01BB03	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	ANTIMETABOLITES	Purine analogues
37266	N05AB04	NERVOUS SYSTEM	PSYCHOLEPTICS	ANTIPSYCHOTICS	Phenothiazines with piperazine structure
37493	C01DA52	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Organic nitrates
37493	C05AE01	CARDIOVASCULAR SYSTEM	VASOPROTECTIVES	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	Muscle relaxants
37493	C01DA02	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Organic nitrates
37731	J01MB04	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIBACTERIALS FOR SYSTEMIC USE	QUINOLONE ANTIBACTERIALS	Other quinolones
37820	G04BX03	GENITO URINARY SYSTEM AND SEX HORMONES	UROLOGICALS	UROLOGICALS	Other urologicals
37980	C01DX16	CARDIOVASCULAR SYSTEM	CARDIAC THERAPY	VASODILATORS USED IN CARDIAC DISEASES	Other vasodilators used in cardiac diseases
38293	A03AA04	ALIMENTARY TRACT AND METABOLISM	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	Synthetic anticholinergics, esters with tertiary amino group
38727	N03AX09	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Other antiepileptics
38764	N07CA03	NERVOUS SYSTEM	OTHER NERVOUS SYSTEM DRUGS	ANTIVERTIGO PREPARATIONS	Antivertigo preparations
38833	N01AX03	NERVOUS SYSTEM	ANESTHETICS	ANESTHETICS, GENERAL	Other general anesthetics
38898	N07XX02	NERVOUS SYSTEM	OTHER NERVOUS SYSTEM DRUGS	OTHER NERVOUS SYSTEM DRUGS	Other nervous system drugs
39540	R01AC07	RESPIRATORY SYSTEM	NASAL PREPARATIONS	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	Antiallergic agents, excl. corticosteroids
39540	S01GX04	SENSORY ORGANS	OPHTHALMOLOGICALS	DECONGESTANTS AND ANTIALLERGICS	Other antiallergics
39540	R03BC03	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS	Antiallergic agents, excl. corticosteroids
39857	N03AX15	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Other antiepileptics
41434	C04AX02	CARDIOVASCULAR SYSTEM	PERIPHERAL VASODILATORS	PERIPHERAL VASODILATORS	Other peripheral vasodilators
42290	L01XX35	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents
42468	R01AB02	RESPIRATORY SYSTEM	NASAL PREPARATIONS	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	Sympathomimetics, combinations excl. corticosteroids
42468	S01GA01	SENSORY ORGANS	OPHTHALMOLOGICALS	DECONGESTANTS AND ANTIALLERGICS	Sympathomimetics used as decongestants
42468	R01AA08	RESPIRATORY SYSTEM	NASAL PREPARATIONS	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	Sympathomimetics, plain
42468	S01GA51	SENSORY ORGANS	OPHTHALMOLOGICALS	DECONGESTANTS AND ANTIALLERGICS	Sympathomimetics used as decongestants
42520	S01GA04	SENSORY ORGANS	OPHTHALMOLOGICALS	DECONGESTANTS AND ANTIALLERGICS	Sympathomimetics used as decongestants
42520	R01AA05	RESPIRATORY SYSTEM	NASAL PREPARATIONS	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	Sympathomimetics, plain
42520	R01AB07	RESPIRATORY SYSTEM	NASAL PREPARATIONS	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	Sympathomimetics, combinations excl. corticosteroids
43086	C02CC02	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING	Guanidine derivatives
43086	S01EX01	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	Other antiglaucoma preparations
43354	C07AB09	CARDIOVASCULAR SYSTEM	BETA BLOCKING AGENTS	BETA BLOCKING AGENTS	Beta blocking agents, selective
43448	C04AB02	CARDIOVASCULAR SYSTEM	PERIPHERAL VASODILATORS	PERIPHERAL VASODILATORS	Imidazoline derivatives
43448	M02AX02	MUSCULO-SKELETAL SYSTEM	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	Other topical products for joint and muscular pain
43740	J04AB01	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIMYCOBACTERIALS	DRUGS FOR TREATMENT OF TUBERCULOSIS	Antibiotics
43952	C02AA52	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, CENTRALLY ACTING	Rauwolfia alkaloids
43952	C02AA02	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ANTIADRENERGIC AGENTS, CENTRALLY ACTING	Rauwolfia alkaloids
44010	B05CX03	BLOOD AND BLOOD FORMING ORGANS	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	IRRIGATING SOLUTIONS	Other irrigating solutions
44647	R03AB03	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS, INHALANTS	Non-selective beta-adrenoreceptor agonists
44647	R03CB03	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS FOR SYSTEMIC USE	Non-selective beta-adrenoreceptor agonists
44905	N05CM18	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Other hypnotics and sedatives
44920	G04BE08	GENITO URINARY SYSTEM AND SEX HORMONES	UROLOGICALS	UROLOGICALS	Drugs used in erectile dysfunction
45838	N02AF01	NERVOUS SYSTEM	ANALGESICS	OPIOIDS	Morphinan derivatives
46385	A08AA05	ALIMENTARY TRACT AND METABOLISM	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS	Centrally acting antiobesity products
46656	P02BX01	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTHELMINTICS	ANTITREMATODALS	Other antitrematodal agents
46656	D10AB01	DERMATOLOGICALS	ANTI-ACNE PREPARATIONS	ANTI-ACNE PREPARATIONS FOR TOPICAL USE	Preparations containing sulfur
46726	A10BB03	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	Sulfonylureas
46726	V04CA01	VARIOUS	DIAGNOSTIC AGENTS	OTHER DIAGNOSTIC AGENTS	Tests for diabetes
46727	A10BX03	ALIMENTARY TRACT AND METABOLISM	DRUGS USED IN DIABETES	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	Other blood glucose lowering drugs, excl. insulins
47447	R03DC03	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	Leukotriene receptor antagonists
47447	R03DC53	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	Leukotriene receptor antagonists
47675	J05AB02	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIVIRALS FOR SYSTEMIC USE	DIRECT ACTING ANTIVIRALS	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
47675	D06BB01	DERMATOLOGICALS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	CHEMOTHERAPEUTICS FOR TOPICAL USE	Antivirals
47675	S01AD01	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Antivirals
48701	J05AB12	ANTIINFECTIVES FOR SYSTEMIC USE	ANTIVIRALS FOR SYSTEMIC USE	DIRECT ACTING ANTIVIRALS	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
48849	A01AB03	ALIMENTARY TRACT AND METABOLISM	STOMATOLOGICAL PREPARATIONS	STOMATOLOGICAL PREPARATIONS	Antiinfectives and antiseptics for local oral treatment
48849	D08AC02	DERMATOLOGICALS	ANTISEPTICS AND DISINFECTANTS	ANTISEPTICS AND DISINFECTANTS	Biguanides and amidines
48849	S02AA09	SENSORY ORGANS	OTOLOGICALS	ANTIINFECTIVES	Antiinfectives
48849	S01AX09	SENSORY ORGANS	OPHTHALMOLOGICALS	ANTIINFECTIVES	Other antiinfectives
48849	R02AA05	RESPIRATORY SYSTEM	THROAT PREPARATIONS	THROAT PREPARATIONS	Antiseptics
48849	D09AA12	DERMATOLOGICALS	MEDICATED DRESSINGS	MEDICATED DRESSINGS	Medicated dressings with antiinfectives
48849	S03AA04	SENSORY ORGANS	OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS	ANTIINFECTIVES	Antiinfectives
48849	D08AC52	DERMATOLOGICALS	ANTISEPTICS AND DISINFECTANTS	ANTISEPTICS AND DISINFECTANTS	Biguanides and amidines
48849	B05CA02	BLOOD AND BLOOD FORMING ORGANS	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	IRRIGATING SOLUTIONS	Antiinfectives
49226	R03AC04	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS, INHALANTS	Selective beta-2-adrenoreceptor agonists
49226	R03CC04	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	ADRENERGICS FOR SYSTEMIC USE	Selective beta-2-adrenoreceptor agonists
49226	G02CA03	GENITO URINARY SYSTEM AND SEX HORMONES	OTHER GYNECOLOGICALS	OTHER GYNECOLOGICALS	Sympathomimetics, labour repressants
49842	N06BA04	NERVOUS SYSTEM	PSYCHOANALEPTICS	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	Centrally acting sympathomimetics
49847	N05CD04	NERVOUS SYSTEM	PSYCHOLEPTICS	HYPNOTICS AND SEDATIVES	Benzodiazepine derivatives
49869	N03AD02	NERVOUS SYSTEM	ANTIEPILEPTICS	ANTIEPILEPTICS	Succinimide derivatives
49931	L04AX03	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Other immunosuppressants
49931	L01BA01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	ANTIMETABOLITES	Folic acid analogues
50440	B01AC23	BLOOD AND BLOOD FORMING ORGANS	ANTITHROMBOTIC AGENTS	ANTITHROMBOTIC AGENTS	Platelet aggregation inhibitors excl. heparin
51042	D11AX01	DERMATOLOGICALS	OTHER DERMATOLOGICAL PREPARATIONS	OTHER DERMATOLOGICAL PREPARATIONS	Other dermatologicals
51042	C02DC01	CARDIOVASCULAR SYSTEM	ANTIHYPERTENSIVES	ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON	Pyrimidine derivatives
51056	G02CC02	GENITO URINARY SYSTEM AND SEX HORMONES	OTHER GYNECOLOGICALS	OTHER GYNECOLOGICALS	Antiinflammatory products for vaginal administration
51056	M02AA12	MUSCULO-SKELETAL SYSTEM	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	Antiinflammatory preparations, non-steroids for topical use
51056	M01AE02	MUSCULO-SKELETAL SYSTEM	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	Propionic acid derivatives
51162	P01BC02	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS	ANTIPROTOZOALS	ANTIMALARIALS	Methanolquinolines
51182	L01BC01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	ANTIMETABOLITES	Pyrimidine analogues
52087	L02BB01	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Anti-androgens
52523	N06DX01	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTI-DEMENTIA DRUGS	Other anti-dementia drugs
52874	D01AC03	DERMATOLOGICALS	ANTIFUNGALS FOR DERMATOLOGICAL USE	ANTIFUNGALS FOR TOPICAL USE	Imidazole and triazole derivatives
52874	G01AF05	GENITO URINARY SYSTEM AND SEX HORMONES	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS	Imidazole derivatives
53616	N06AB06	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Selective serotonin reuptake inhibitors
53623	N06BX03	NERVOUS SYSTEM	PSYCHOANALEPTICS	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	Other psychostimulants and nootropics
53686	L01AX03	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	ANTINEOPLASTIC AGENTS	ALKYLATING AGENTS	Other alkylating agents
53737	R03DA03	RESPIRATORY SYSTEM	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	Xanthines
54051	R06AB51	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Substituted alkylamines
54051	R06AB01	RESPIRATORY SYSTEM	ANTIHISTAMINES FOR SYSTEMIC USE	ANTIHISTAMINES FOR SYSTEMIC USE	Substituted alkylamines
54070	N06AB02	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Selective serotonin reuptake inhibitors
54211	C09CA02	CARDIOVASCULAR SYSTEM	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	ANGIOTENSIN II ANTAGONISTS, PLAIN	Angiotensin II antagonists, plain
54547	A04AA02	ALIMENTARY TRACT AND METABOLISM	ANTIEMETICS AND ANTINAUSEANTS	ANTIEMETICS AND ANTINAUSEANTS	Serotonin (5HT3) antagonists
54722	N06AB08	NERVOUS SYSTEM	PSYCHOANALEPTICS	ANTIDEPRESSANTS	Selective serotonin reuptake inhibitors
