Original drug name	chembl_id	molregno	Original synonyms	Fu	PMID	inchi_key	SMILES
CHLORPROMAZINE	CHEMBL71	6216		0.055999999999999994	PMID30115648	ZPEIMTDSQAKGNT-UHFFFAOYSA-N	CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
CHLORPROPAMIDE	CHEMBL498	8516		0.03	PMID30115648	RKWGIWYCVPQPMF-UHFFFAOYSA-N	CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
CHLORTETRACYCLINE	CHEMBL404520	438486		0.52	PMID30115648	CYDMQBQPVICBEU-XRNKAMNCSA-N	CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)ccc(Cl)c4[C@@]3(C)O
CHLORTHALIDONE	CHEMBL1055	134333		0.24	PMID30115648	JIVPVXMEBJLZRO-UHFFFAOYSA-N	NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23
CIDOFOVIR	CHEMBL152	48701		1.0	PMID30115648	VWFCHDSQECPREK-LURJTMIESA-N	NC1=NC(=O)N(C[C@@H](CO)OCP(=O)(O)O)C=C1
CILASTATIN	CHEMBL766	43261		0.6	PMID30115648	DHSUYTOATWAVLW-WFVMDLQDSA-N	CC1(C)C[C@@H]1C(=O)N\C(=C/CCCCSC[C@H](N)C(=O)O)\C(=O)O
CIMETIDINE	CHEMBL30	1620		0.78	PMID30115648	AQIXAKUUQRKLND-UHFFFAOYSA-N	CN\C(=N/CCSCc1nc[nH]c1C)\NC#N
CINACALCET	CHEMBL1201284	675235		0.05	PMID30115648	VDHAWDNDOKGFTD-MRXNPFEDSA-N	c1cccc2cccc(c12)[C@H](NCCCc1cc(C(F)(F)F)ccc1)C
CIPROFLOXACIN	CHEMBL8	241		0.7	PMID30115648	MYSWGUAQZAJSOK-UHFFFAOYSA-N	OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O
CISATRACURIUM	CHEMBL1201248	675199		0.62	PMID30115648	YXSLJKQTIDHPOT-LJCJQEJUSA-N	COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]4(C)CCc5cc(OC)c(OC)cc5[C@H]4Cc6ccc(OC)c(OC)c6)cc1OC
CITALOPRAM	CHEMBL549	14367		0.2	PMID30115648	WSEQXVZVJXJVFP-UHFFFAOYSA-N	CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3
CLADRIBINE	CHEMBL1619	467361		0.79	PMID30115648	PTOAARAWEBMLNO-KVQBGUIXSA-N	Nc1nc(Cl)nc2c1ncn2[C@H]3C[C@H](O)[C@@H](CO)O3
CLARITHROMYCIN	CHEMBL1741	570147		0.23	PMID30115648	AGOYDEPGAOXOCK-KCBOHYOISA-N	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC
CLAVULANIC ACID	CHEMBL777	44876		0.91	PMID30115648	HZZVJAQRINQKSD-PBFISZAISA-N	OC\C=C\1/O[C@@H]2CC(=O)N2[C@H]1C(=O)O
CLEVIDIPINE	CHEMBL1237132	699483		0.0038	PMID30115648	KPBZROQVTHLCDU-UHFFFAOYSA-N	CCCC(=O)OCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C
CLINDAMYCIN	CHEMBL1753	581843		0.06	PMID30115648	KDLRVYVGXIQJDK-AWPVFWJPSA-N	CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O
CLOFARABINE	CHEMBL1750	581569		0.53	PMID30115648	WDDPHFBMKLOVOX-AYQXTPAHSA-N	n1c(N)c2c(nc1Cl)n([C@H]1[C@H]([C@@H]([C@H](O1)CO)O)F)cn2
CLOMIPRAMINE	CHEMBL415	996		0.028999999999999998	PMID30115648	GDLIGKIOYRNHDA-UHFFFAOYSA-N	CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13
CLONAZEPAM	CHEMBL452	2465		0.15	PMID30115648	DGBIGWXXNGSACT-UHFFFAOYSA-N	Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O
CLONIDINE	CHEMBL134	27609		0.56	PMID30115648	GJSURZIOUXUGAL-UHFFFAOYSA-N	Clc1cccc(Cl)c1NC2=NCCN2
CLOPIDOGREL	CHEMBL1771	598402		0.02	PMID30115648	GKTWGGQPFAXNFI-HNNXBMFYSA-N	COC(=O)[C@H](c1ccccc1Cl)N2CCc3c(ccs3)C2
CLOZAPINE	CHEMBL42	2261		0.055	PMID30115648	QZUDBNBUXVUHMW-UHFFFAOYSA-N	CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24
COBIMETINIB	CHEMBL2146883	1420377		0.05	PMID30115648	BSMCAPRUBJMWDF-KRWDZBQOSA-N	c1cc(c(cc1I)F)Nc2c(ccc(c2F)F)C(=O)N3CC(C3)([C@@H]4CCCCN4)O
COCAINE	CHEMBL370805	333370		0.12	PMID30115648	ZPUCINDJVBIVPJ-LJISPDSOSA-N	COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3
CODEINE	CHEMBL485	6167		0.7	PMID30115648	OROGSEYTTFOCAN-DNJOTXNNSA-N	COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C
COLCHICINE	CHEMBL107	14440		0.61	PMID30115648	IAKHMKGGTNLKSZ-INIZCTEOSA-N	COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C
CONIVAPTAN	CHEMBL1755	581850		0.01	PMID30115648	IKENVDNFQMCRTR-UHFFFAOYSA-N	Cc1nc2CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6c2[nH]1
COUMARIN	CHEMBL6466	1256		0.17	PMID30115648	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N	c12c(ccc(o1)=O)cccc2
CRIZOTINIB	CHEMBL601719	602271		0.09	PMID30115648	KTEIFNKAUNYNJU-GFCCVEGCSA-N	C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4
CYCLOPHOSPHAMIDE	CHEMBL88	8417		0.87	PMID30115648	CMSMOCZEIVJLDB-UHFFFAOYSA-N	ClCCN(CCCl)P1(=O)NCCCO1
CYTARABINE	CHEMBL803	51182		0.87	PMID30115648	UHDGCWIWMRVCDJ-CCXZUQQUSA-N	[H]N([H])C1C=CN(C(N=1)=O)[C@H]1[C@H]([C@@H]([C@@H](CO[H])O1)O[H])O[H]
DABRAFENIB	CHEMBL2028663	1340894		0.003	PMID30115648	BFSMGDJOXZAERB-UHFFFAOYSA-N	CC(C)(C)c1nc(c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(s1)c4ccnc(N)n4
DACLATASVIR	CHEMBL2023898	1339281		0.01	PMID30115648	FKRSSPOQAMALKA-CUPIEXAXSA-N	COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c2ncc([nH]2)c3ccc(cc3)c4ccc(cc4)c5cnc([nH]5)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C
DALBAVANCIN	CHEMBL3301669	1763640		0.02	PMID30115648	KGPGQDLTDHGEGT-SZUNQUCBSA-N	CN[C@H]1C(=O)N[C@@H]2Cc3ccc(Oc4cc5cc(Oc6ccc(cc6Cl)[C@@H](O)[C@@H]7NC(=O)[C@H](NC(=O)[C@@H]5NC(=O)[C@@H](NC2=O)c8cc(Oc9cc1ccc9O)cc(O)c8Cl)c%10ccc(O)c(c%10)c%11c(O[C@H]%12O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]%12O)cc(O)cc%11[C@H](NC7=O)C(=O)NCCCN(C)C)c4O[C@@H]%13O[C@@H]([C@@H](O)[C@H](O)[C@H]%13NC(=O)CCCCCCCCC(C)C)C(=O)O)cc3
DALFAMPRIDINE	CHEMBL284348	31289		1.0	PMID30115648	NUKYPUAOHBNCPY-UHFFFAOYSA-N	c1(ccncc1)N
DAPSONE	CHEMBL1043	126356		0.25	PMID30115648	MQJKPEGWNLWLTK-UHFFFAOYSA-N	Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2
DARIFENACIN	CHEMBL1346	291960		0.02	PMID30115648	HXGBXQDTNZMWGS-RUZDIDTESA-N	NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5
DARUNAVIR	CHEMBL1323	267163		0.05	PMID30115648	CJBJHOAVZSMMDJ-HEXNFIEUSA-N	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N
DASABUVIR	CHEMBL3137312	1626743		0.005	PMID30115648	NBRBXGKOEOGLOI-UHFFFAOYSA-N	CC(C)(C)c1cc(cc(c1OC)c2ccc3cc(ccc3c2)NS(=O)(=O)C)n4ccc(=O)[nH]c4=O
DAUNORUBICIN	CHEMBL178	336913		0.06	PMID30115648	STQGQHZAVUOBTE-VGBVRHCVSA-N	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)C)O)N)O
DECITABINE	CHEMBL1201129	675080		1.0	PMID30115648	XAUDJQYHKZQPEU-KVQBGUIXSA-N	NC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C@@H](CO)O2
DEFERASIROX	CHEMBL550348	564990		0.004	PMID30115648	BOFQWVMAQOTZIW-UHFFFAOYSA-N	[H]OC(c1ccc(cc1)n1c(c2ccccc2O[H])nc(c2ccccc2O[H])n1)=O
DELAFLOXACIN	CHEMBL2105637	1377907		0.16	PMID30115648	DYDCPNMLZGFQTM-UHFFFAOYSA-N	c1c2c(c(c(c1F)N3CC(C3)O)Cl)n(cc(c2=O)C(=O)O)c4c(cc(c(n4)N)F)F
DEMETHYLCHLORTETRACYCLINE	CHEMBL1591	454084		0.59	PMID30115648	FMTDIUIBLCQGJB-SEYHBJAFSA-N	CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N
DESIPRAMINE	CHEMBL72	6243		0.16	PMID30115648	HCYAFALTSJYZDH-UHFFFAOYSA-N	CNCCCN1c2ccccc2CCc3ccccc13
DEXAMETHASONE	CHEMBL384467	365281		0.32	PMID30115648	UREBDLICKHMUKA-CXSFZGCWSA-N	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
DEXFENFLURAMINE	CHEMBL248702	421350		0.66	PMID30115648	DBGIVFWFUFKIQN-VIFPVBQESA-N	CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F
DEXMEDETOMIDINE	CHEMBL778	44905		0.06	PMID30115648	CUHVIMMYOGQXCV-NSHDSACASA-N	C[C@H](c1c[nH]cn1)c2cccc(C)c2C
DEXMETHYLPHENIDATE	CHEMBL827	57397		0.87	PMID30115648	DUGOZIWVEXMGBE-CHWSQXEVSA-N	c1ccc([C@H]([C@H]2CCCCN2)C(OC)=O)cc1
DEXRAZOXANE	CHEMBL1738	567195		1.0	PMID30115648	BMKDZUISNHGIBY-ZETCQYMHSA-N	C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
DEZOCINE	CHEMBL1685	518361		0.08	PMID30115648	VTMVHDZWSFQSQP-VBNZEHGJSA-N	c12[C@@]3([C@H]([C@@H](CCCCC3)Cc1ccc(c2)O)N)C
DIATRIZOIC ACID	CHEMBL1201220	675171	Amidotrizoate	1.0	PMID30115648	YVPYQUNUQOZFHG-UHFFFAOYSA-N	CC(=O)Nc1c(I)c(NC(=O)C)c(I)c(C(=O)O)c1I
DIAZEPAM	CHEMBL12	721		0.023	PMID30115648	AAOVKJBEBIDNHE-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13
DIAZOXIDE	CHEMBL181	364859		0.06	PMID30115648	GDLBFKVLRPITMI-UHFFFAOYSA-N	CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
DICLOFENAC	CHEMBL139	29890		0.005	PMID30115648	DCOPUUMXTXDBNB-UHFFFAOYSA-N	OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl
DICLOXACILLIN	CHEMBL893	77085		0.033	PMID30115648	YFAGHNZHGGCZAX-JKIFEVAISA-N	Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4c(Cl)cccc4Cl
DIDANOSINE	CHEMBL1460	390877		0.95	PMID30115648	BXZVVICBKDXVGW-NKWVEPMBSA-N	OC[C@@H]1CC[C@@H](O1)n2cnc3C(=O)NC=Nc23
DIENOGEST	CHEMBL1201864	675813		0.1	PMID30115648	AZFLJNIPTRTECV-FUMNGEBKSA-N	C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N
DIFLUNISAL	CHEMBL898	77652		0.0016	PMID30115648	HUPFGZXOMWLGNK-UHFFFAOYSA-N	OC(=O)c1cc(ccc1O)c2ccc(F)cc2F
DIGITOXIN	CHEMBL254219	419508		0.066	PMID30115648	WDJUZGPOPHTGOT-XUDUSOBPSA-N	C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C
DIGOXIN	CHEMBL1751	581814		0.7	PMID30115648	LTMHDMANZUZIPE-PUGKRICDSA-N	C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C
DILTIAZEM	CHEMBL23	1278		0.18	PMID30115648	HSUGRBWQSSZJOP-RTWAWAEBSA-N	COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C
DIPHENHYDRAMINE	CHEMBL657	27629		0.19	PMID30115648	ZZVUWRFHKOJYTH-UHFFFAOYSA-N	CN(C)CCOC(c1ccccc1)c2ccccc2
DIPYRIDAMOLE	CHEMBL932	86042		0.00899999999999999	PMID30115648	IZEKFCXSFNUWAM-UHFFFAOYSA-N	c12c(c(N3CCCCC3)nc(n2)N(CCO)CCO)nc(N(CCO)CCO)nc1N1CCCCC1
DISOPYRAMIDE	CHEMBL517	11143		0.16	PMID30115648	UVTNFZQICZKOEM-UHFFFAOYSA-N	CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C
DOCETAXEL	CHEMBL92	9097		0.04	PMID30115648	ZDZOTLJHXYCWBA-VCVYQWHSSA-N	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C
DOFETILIDE	CHEMBL473	5638		0.36	PMID30115648	IXTMWRCNAAVVAI-UHFFFAOYSA-N	CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2
DOMPERIDONE	CHEMBL219916	364745		0.08199999999999999	PMID30115648	FGXWKSZFVQUSTL-UHFFFAOYSA-N	Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1
DOPAMINE	CHEMBL59	4584		0.87	PMID30115648	VYFYYTLLBUKUHU-UHFFFAOYSA-N	c1(cc(c(O)cc1)O)CCN
DOXACURIUM	CHEMBL1237123	699474		0.53	PMID30115648	GBLRQXKSCRCLBZ-UHFFFAOYSA-N	COc1cc(CC2c3c(CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]4(C)CCc5cc(OC)c(OC)c(OC)c5C4Cc6cc(OC)c(OC)c(OC)c6)cc(OC)c(OC)c3OC)cc(OC)c1OC
DOXAZOSIN	CHEMBL707	33373		0.017	PMID30115648	RUZYUOTYCVRMRZ-UHFFFAOYSA-N	COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4
DOXORUBICIN	CHEMBL53463	78759		0.28	PMID30115648	AOJJSUZBOXZQNB-TZSSRYMLSA-N	COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
DOXYCYCLINE	CHEMBL1433	371546		0.12	PMID30115648	JBIWCJUYHHGXTC-AKNGSSGZSA-N	C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O
DRONEDARONE	CHEMBL184412	308422		0.02	PMID30115648	ZQTNQVWKHCQYLQ-UHFFFAOYSA-N	CS(=O)(=O)Nc1cc2c(c(oc2cc1)CCCC)C(=O)c1ccc(cc1)OCCCN(CCCC)CCCC
DULOXETINE	CHEMBL1175	192908		0.04	PMID30115648	ZEUITGRIYCTCEM-KRWDZBQOSA-N	"s1cccc1[C@@H](Oc1cccc2c1cccc2)CCNC
"
EDARAVONE	CHEMBL290916	60371		0.89	PMID30115648	QELUYTUMUWHWMC-UHFFFAOYSA-N	N1(c2ccccc2)N=C(C)CC1=O
EDOXABAN	CHEMBL1269025	709600		0.5	PMID30115648	HGVDHZBSSITLCT-JLJPHGGASA-N	c1(nc2c(s1)CN(CC2)C)C(=O)N[C@H]1[C@@H](NC(=O)C(=O)Nc2ncc(Cl)cc2)CC[C@H](C(=O)N(C)C)C1
ELETRIPTAN	CHEMBL1510	421034		0.15	PMID30115648	PWVXXGRKLHYWKM-LJQANCHMSA-N	CN1CCC[C@@H]1Cc2c[nH]c3ccc(CCS(=O)(=O)c4ccccc4)cc23
ELIGLUSTAT	CHEMBL2110588	1383028		0.21	PMID30115648	FJZZPCZKBUKGGU-AUSIDOKSSA-N	CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@@H](c2ccc3c(c2)OCCO3)O
ENALAPRILAT	CHEMBL577	16759		0.62	PMID30115648	LZFZMUMEGBBDTC-QEJZJMRPSA-N	C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O
ENCAINIDE	CHEMBL315838	139046		0.26	PMID30115648	PJWPNDMDCLXCOM-UHFFFAOYSA-N	COc1ccc(cc1)C(=O)Nc2ccccc2CCC3CCCCN3C
ENFUVIRTIDE	CHEMBL525076	508828		0.08	PMID30115648	PEASPLKKXBYDKL-FXEVSJAOSA-N	CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](Cc5c[nH]c6c5cccc6)C(=O)N[C@@H](Cc7ccccc7)C(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc8cnc[nH]8)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc9ccc(cc9)O)NC(=O)C
ENOXACIN	CHEMBL826	57175		0.8	PMID30115648	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	CCN1C=C(C(=O)O)C(=O)c2cc(F)c(nc12)N3CCNCC3
ENOXIMONE	CHEMBL249856	421520		0.3	PMID30115648	ZJKNESGOIKRXQY-UHFFFAOYSA-N	c1(C(c2ccc(SC)cc2)=O)c([nH]c([nH]1)=O)C
ENTACAPONE	CHEMBL953	92412		0.02	PMID30115648	JRURYQJSLYLRLN-BJMVGYQFSA-N	CCN(CC)C(=O)\C(=C\c1cc(O)c(O)c(c1)N(=O)=O)\C#N
EPIRUBICIN	CHEMBL417	1114		0.25	PMID30115648	AOJJSUZBOXZQNB-VTZDEGQISA-N	COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
EPROSARTAN	CHEMBL813	54211		0.017	PMID30115648	OROAFUQRIXKEMV-LDADJPATSA-N	CCCCc1ncc(\C=C(/Cc2cccs2)\C(=O)O)n1Cc3ccc(cc3)C(=O)O
ERGOTAMINE	CHEMBL442	2203		0.02	PMID30115648	XCGSFFUVFURLIX-VFGNJEKYSA-N	CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O
ERLOTINIB	CHEMBL553	14785		0.07	PMID30115648	AAKJLRGGTJKAMG-UHFFFAOYSA-N	n1cnc(c2cc(c(cc12)OCCOC)OCCOC)Nc1cc(ccc1)C#C
ERTAPENEM	CHEMBL1359	304903		0.1	PMID30115648	JUZNIMUFDBIJCM-ANEDZVCMSA-N	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CN[C@@H](C3)C(=O)Nc4cccc(c4)C(=O)O
ERYTHROMYCIN	CHEMBL532	12506		0.1	PMID30115648	ULGZDMOVFRHVEP-RWJQBGPGSA-N	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
ESMOLOL	CHEMBL768	43354		0.59	PMID30115648	AQNDDEOPVVGCPG-UHFFFAOYSA-N	COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
ESTRADIOL	CHEMBL135	27626		0.016	PMID30115648	VOXZDWNPVJITMN-ZBRFXRBCSA-N	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O
ESTRAMUSTINE PHOSPHATE	CHEMBL1756	581858		0.5	PMID30115648	ADFOJJHRTBFFOF-RBRWEJTLSA-N	C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)[C@@H]1CC[C@@H]2OP(=O)(O)O
ETHAMBUTOL	CHEMBL44884	67617		0.18	PMID30115648	AEUTYOVWOVBAKS-UWVGGRQHSA-N	CC[C@@H](CO)NCCN[C@@H](CC)CO
ETHINYLESTRADIOL	CHEMBL691	31241		0.013999999999999999	PMID30115648	BFPYWIDHMRZLRN-SLHNCBLASA-N	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C
ETILEFRINE	CHEMBL86882	139072		0.77	PMID30115648	SQVIAVUSQAWMKL-UHFFFAOYSA-N	CCNCC(O)c1cccc(O)c1
ETOMIDATE	CHEMBL681	29090		0.23	PMID30115648	NPUKDXXFDDZOKR-LLVKDONJSA-N	CCOC(=O)c1cncn1[C@H](C)c2ccccc2
ETONOGESTREL	CHEMBL1531	428747		0.02	PMID30115648	GCKFUYQCUCGESZ-BPIQYHPVSA-N	[C@@]12([C@H]([C@H]3[C@H](C(=C)C2)[C@@H]2C(=CC(=O)CC2)CC3)CC[C@]1(C#C)O)CC
ETOPOSIDE	CHEMBL44657	68607		0.12	PMID30115648	VJJPUSNTGOMMGY-MRVIYFEKSA-N	COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26
ETORICOXIB	CHEMBL416146	6706		0.081	PMID30115648	MNJVRJDLRVPLFE-UHFFFAOYSA-N	Cc1ccc(cn1)c2ncc(Cl)cc2c3ccc(cc3)S(=O)(=O)C
EZOGABINE	CHEMBL41355	61945		0.2	PMID30115648	PCOBBVZJEWWZFR-UHFFFAOYSA-N	C(Nc1c(cc(NCc2ccc(F)cc2)cc1)N)(=O)OCC
FAMOTIDINE	CHEMBL902	78303		0.84	PMID30115648	XUFQPHANEAPEMJ-UHFFFAOYSA-N	NC(=N)Nc1nc(CSCCC(=N)NS(=O)(=O)N)cs1
FELODIPINE	CHEMBL1480	405365		0.00359999999999999	PMID30115648	RZTAMFZIAATZDJ-UHFFFAOYSA-N	CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C
FENOTEROL	CHEMBL32800	49226		0.53	PMID30115648	LSLYOANBFKQKPT-UHFFFAOYSA-N	CC(Cc1ccc(O)cc1)NCC(O)c2cc(O)cc(O)c2
FENTANYL	CHEMBL596	19915		0.16	PMID30115648	PJMPHNIQZUBGLI-UHFFFAOYSA-N	CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c3ccccc3
FINAFLOXACIN	CHEMBL1908370	1248741		0.75	PMID30115648	FYMHQCNFKNMJAV-HOTGVXAUSA-N	c1c2c(c(c(c1F)N3C[C@H]4[C@H](C3)OCCN4)C#N)n(cc(c2=O)C(=O)O)C5CC5
FINASTERIDE	CHEMBL710	33679		0.095	PMID30115648	DBEPLOCGEIEOCV-WSBQPABSSA-N	CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
FINGOLIMOD	CHEMBL314854	144940		0.002	PMID30115648	KKGQTZUTZRNORY-UHFFFAOYSA-N	c1(ccc(cc1)CCCCCCCC)CCC(CO)(N)CO
FLECAINIDE	CHEMBL652	27588		0.52	PMID30115648	DJBNUMBKLMJRSA-UHFFFAOYSA-N	FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2
