Original source Substance	pref_name	chembl_id	molregno	mw_freebase	Blood-plasma concentration, therapeutic (normal) upper limit	Unit
GOLD	GOLD SODIUM THIOMALATE	CHEMBL306043	113247	346.11	8.0	mg/L
GRANISETRON	GRANISETRON	CHEMBL289469	54547	312.42	0.017	mg/L
GRISEOFULVIN	GRISEOFULVIN	CHEMBL562	16303	352.77	1.3	mg/L
GUAIFENESIN	GUAIFENESIN	CHEMBL980	100157	198.22	1.4	mg/L
GUANETHIDINE	GUANETHIDINE	CHEMBL765	43086	198.31	0.01	mg/L
HALOPERIDOL	HALOPERIDOL	CHEMBL54	3859	375.87	0.02	mg/L
HEXACHLOROPHENE	HEXACHLOROPHENE	CHEMBL496	8167	406.91	0.65	mg/L
HYDRALAZINE	HYDRALAZINE	CHEMBL276832	8788	160.18	1.5	mg/L
HYDROCHLOROTHIAZIDE	HYDROCHLOROTHIAZIDE	CHEMBL435	2045	297.75	2.0	mg/L
HYDROCODONE	HYDROCODONE	CHEMBL1457	388373	299.37	0.05	mg/L
HYDROMORPHONE	HYDROMORPHONE	CHEMBL398707	419580	285.34	0.015	mg/L
HYDROXYCHLOROQUINE	HYDROXYCHLOROQUINE	CHEMBL1535	429737	335.88	0.4	mg/L
HYDROXYZINE	HYDROXYZINE	CHEMBL896	77459	374.91	0.1	mg/L
IBUPROFEN	IBUPROFEN	CHEMBL521	11674	206.28	30.0	mg/L
IDEBENONE	IDEBENONE	CHEMBL252556	418736	338.44	0.2	mg/L
ILOPERIDONE	ILOPERIDONE	CHEMBL14376	13949	426.49	0.01	mg/L
ILOPROST	ILOPROST	CHEMBL494	7494	360.49	0.0001	mg/L
IMATINIB	IMATINIB	CHEMBL941	88797	493.62	2.3	mg/L
IMIPENEM	IMIPENEM	CHEMBL148	43934	299.35	75.0	mg/L
IMIPRAMINE	IMIPRAMINE	CHEMBL11	605	280.42	0.35	mg/L
AMRINONE	INAMRINONE	CHEMBL12856	11066	187.2	4.0	mg/L
INDINAVIR	INDINAVIR	CHEMBL115	17170	613.8	0.1	mg/L
INDOMETACIN	INDOMETHACIN	CHEMBL6	173	357.79	3.0	mg/L
INDORAMIN	INDORAMIN	CHEMBL279516	33466	347.46	0.1	mg/L
ADIPIODONE	IODIPAMIDE	CHEMBL1165268	646449	1139.76	1200.0	mg/L
IPRONIAZID	IPRONIAZID	CHEMBL92401	150743	179.22	5.0	mg/L
IRBESARTAN	IRBESARTAN	CHEMBL1513	421066	428.54	3.3	mg/L
ISONIAZID	ISONIAZID	CHEMBL64	4941	137.14	10.0	mg/L
ISOTRETINOIN	ISOTRETINOIN	CHEMBL547	13928	300.44	0.002	mg/L
ISOXICAM	ISOXICAM	CHEMBL53292	78364	335.34	15.0	mg/L
ISRADIPINE	ISRADIPINE	CHEMBL1648	486789	371.39	0.01	mg/L
ITRACONAZOLE	ITRACONAZOLE	CHEMBL22587	27986	705.65	2.0	mg/L
IVERMECTIN	IVERMECTIN	CHEMBL1200633	674584	1736.18	0.05	mg/L
KANAMYCIN	KANAMYCIN	CHEMBL1384	325239	484.5	25.0	mg/L
KETAMINE	KETAMINE	CHEMBL742	38833	237.73	6.0	mg/L
KETANSERIN	KETANSERIN	CHEMBL51	3683	395.43	0.5	mg/L
KETAZOLAM	KETAZOLAM	CHEMBL2104356	1376626	368.82	0.02	mg/L
KETOCONAZOLE	KETOCONAZOLE	CHEMBL157101	255904	531.44	6.0	mg/L
KETOPROFEN	KETOPROFEN	CHEMBL571	16591	254.29	20.0	mg/L
KETOROLAC	KETOROLAC	CHEMBL469	5080	255.27	3.0	mg/L
KETOTIFEN	KETOTIFEN	CHEMBL534	12957	309.43	0.004	mg/L
LABETALOL	LABETALOL	CHEMBL429	1785	328.41	0.65	mg/L
LACIDIPINE	LACIDIPINE	CHEMBL460291	453548	455.55	0.006	mg/L
LAMOTRIGINE	LAMOTRIGINE	CHEMBL741	38727	256.1	14.0	mg/L
LEFLUNOMIDE	LEFLUNOMIDE	CHEMBL960	93895	270.21	63.0	mg/L
LEVAMISOLE	LEVAMISOLE	CHEMBL1454	384948	204.3	0.7	mg/L
LEVETIRACETAM	LEVETIRACETAM	CHEMBL1286	252155	170.21	40.0	mg/L
LEVOCABASTINE	LEVOCABASTINE	CHEMBL1615438	1038389	420.53	0.01	mg/L
LEVODOPA	LEVODOPA	CHEMBL1009	112655	197.19	2.0	mg/L
LEVOMEPROMAZINE	LEVOMEPROMAZINE	CHEMBL1764	583530	328.48	0.2	mg/L
LEVACETYLMETHADOL	LEVOMETHADYL ACETATE	CHEMBL1514	421070	353.51	0.06	mg/L
LEVORPHANOL	LEVORPHANOL	CHEMBL592	19572	257.38	0.02	mg/L
LEVOTHYROXINE	LEVOTHYROXINE	CHEMBL1624	469690	776.87	0.14	mg/L
LIDOCAINE	LIDOCAINE	CHEMBL79	6723	234.34	5.0	mg/L
LINEZOLIDE	LINEZOLID	CHEMBL126	26280	337.35	4.0	mg/L
LISINOPRIL	LISINOPRIL	CHEMBL1237	230659	405.5	0.07	mg/L
LOFEPRAMINE	LOFEPRAMINE	CHEMBL87708	139311	418.97	0.01	mg/L
LOPINAVIR	LOPINAVIR	CHEMBL729	37316	628.81	1.0	mg/L
LORATADINE	LORATADINE	CHEMBL998	110803	382.89	0.02	mg/L
LORAZEPAM	LORAZEPAM	CHEMBL580	16959	321.16	0.25	mg/L
LORMETAZEPAM	LORMETAZEPAM	CHEMBL22097	27028	335.19	0.025	mg/L
LORNOXICAM	LORNOXICAM	CHEMBL1569487	993371	371.83	0.8	mg/L
LOSARTAN	LOSARTAN	CHEMBL191	408842	422.92	0.65	mg/L
LOXAPINE	LOXAPINE	CHEMBL831	59519	327.81	0.1	mg/L
MAPROTILINE	MAPROTILINE	CHEMBL21731	27713	277.41	0.13	mg/L
MARAVIROC	MARAVIROC	CHEMBL1201187	675138	513.68	0.05	mg/L
MEBENDAZOLE	MEBENDAZOLE	CHEMBL685	29637	295.3	0.1	mg/L
MEDAZEPAM	MEDAZEPAM	CHEMBL28333	34350	270.76	1.0	mg/L
MEFENAMIC ACID	MEFENAMIC ACID	CHEMBL686	29989	241.29	20.0	mg/L
MEFLOQUINE	MEFLOQUINE	CHEMBL416956	51162	378.32	1.0	mg/L
MELATONIN	MELATONIN	CHEMBL45	3012	232.28	0.1	mg/L
MELOXICAM	MELOXICAM	CHEMBL599	20496	351.41	2.0	mg/L
MELPHALAN	MELPHALAN	CHEMBL852	65415	305.21	1.5	mg/L
MEMANTINE	MEMANTINE	CHEMBL807	52523	179.31	0.15	mg/L
PETHIDINE	MEPERIDINE	CHEMBL607	22528	247.34	0.8	mg/L
MEPHENESIN	MEPHENESIN	CHEMBL229128	380430	182.22	10.0	mg/L
MEPIVACAINE	MEPIVACAINE	CHEMBL1087	147981	246.35	4.0	mg/L
MEPROBAMATE	MEPROBAMATE	CHEMBL979	99389	218.25	10.0	mg/L
MEPTAZINOL	MEPTAZINOL	CHEMBL314437	139237	233.35	0.25	mg/L
MERCAPTOPURINE	MERCAPTOPURINE	CHEMBL1425	364693	152.18	0.08	mg/L
MESALAZINE	MESALAMINE	CHEMBL704	33202	153.14	1.0	mg/L
MESORIDAZINE	MESORIDAZINE	CHEMBL1088	148004	386.59	1.0	mg/L
METFORMIN	METFORMIN	CHEMBL1431	369464	129.17	1.3	mg/L
METHADONE	METHADONE	CHEMBL651	27576	309.45	0.75	mg/L
METHAMPHETAMINE	METHAMPHETAMINE	CHEMBL1201201	675152	149.24	0.1	mg/L
METHAPYRILENE	METHAPYRILENE	CHEMBL1411979	835863	261.39	0.1	mg/L
METHAQUALONE	METHAQUALONE	CHEMBL282052	22572	250.3	3.0	mg/L
METHIMAZOLE	METHIMAZOLE	CHEMBL1515	421089	114.17	2.5	mg/L
METHOCARBAMOL	METHOCARBAMOL	CHEMBL1201117	675068	241.24	50.0	mg/L
METHOHEXITAL	METHOHEXITAL	CHEMBL7413	2216	262.31	11.0	mg/L
METHOTREXATE	METHOTREXATE	CHEMBL34259	49931	454.45	0.04	mg/L
METHOXSALEN	METHOXSALEN	CHEMBL416	1063	216.19	0.2	mg/L
METHSUXIMIDE	METHSUXIMIDE	CHEMBL697	31857	203.24	40.0	mg/L
METHYLDOPA	METHYLDOPA	CHEMBL459	3730	211.22	5.0	mg/L
METHYLPHENIDATE	METHYLPHENIDATE	CHEMBL796	49842	233.31	0.06	mg/L
ALIMEMAZINE	METHYLPROMAZINE	CHEMBL829	57833	298.45	0.4	mg/L
METHYPRYLON	METHYPRYLON	CHEMBL1200790	674741	183.25	20.0	mg/L
METILDIGOXIN	METILDIGOXIN	CHEMBL1697843	1078592	794.98	0.0008	mg/L
METIPRANOLOL	METIPRANOLOL	CHEMBL1291	255221	309.41	0.08	mg/L
METOCLOPRAMIDE	METOCLOPRAMIDE	CHEMBL86	7736	299.8	0.15	mg/L
METOCURINE	METOCURINE	CHEMBL1259	239465	652.83	0.4	mg/L
METOPROLOL	METOPROLOL	CHEMBL13	789	267.37	0.5	mg/L
METRONIDAZOLE	METRONIDAZOLE	CHEMBL137	27912	171.16	20.0	mg/L
MEXILETINE	MEXILETINE	CHEMBL558	15958	179.26	2.0	mg/L
MIANSERIN	MIANSERIN	CHEMBL6437	573	264.37	0.07	mg/L
MIBEFRADIL	MIBEFRADIL	CHEMBL45816	72035	495.64	0.3	mg/L
MICONAZOLE	MICONAZOLE	CHEMBL91	8917	416.14	1.0	mg/L
MIDAZOLAM	MIDAZOLAM	CHEMBL655	27611	325.77	0.25	mg/L
MILNACIPRAN	MILNACIPRAN	CHEMBL259209	427379	246.35	0.11	mg/L
MILRINONE	MILRINONE	CHEMBL189	380567	211.22	0.25	mg/L
MINAPRINE	MINAPRINE	CHEMBL278819	33583	298.39	0.1	mg/L
MINOXIDIL	MINOXIDIL	CHEMBL802	51042	209.25	0.2	mg/L
MIRTAZAPINE	MIRTAZAPINE	CHEMBL654	27610	265.36	0.3	mg/L
MITOTANE	MITOTANE	CHEMBL1670	504310	320.05	20.0	mg/L
MIZOLASTINE	MIZOLASTINE	CHEMBL94454	152819	432.5	0.8	mg/L
MOCLOBEMIDE	MOCLOBEMIDE	CHEMBL86304	139099	268.74	3.0	mg/L
MODAFINIL	MODAFINIL	CHEMBL1373	317124	273.36	3.0	mg/L
MOLINDONE	MOLINDONE	CHEMBL460	3799	276.38	0.5	mg/L
MOLSIDOMINE	MOLSIDOMINE	CHEMBL1329455	753339	242.24	0.01	mg/L
MONTELUKAST	MONTELUKAST	CHEMBL787	47447	586.2	0.3	mg/L
MORPHINE	MORPHINE	CHEMBL70	6005	285.34	0.1	mg/L
MOXONIDINE	MOXONIDINE	CHEMBL19236	21698	241.68	0.004	mg/L
MUROMONAB-CD3	MUROMONAB-CD3	CHEMBL1201608	675588		1.3	mg/L
NADOLOL	NADOLOL	CHEMBL649	27570	309.41	0.25	mg/L
NALBUPHINE	NALBUPHINE	CHEMBL895	77207	357.45	0.2	mg/L
NALIDIXIC ACID	NALIDIXIC ACID	CHEMBL5	147	232.24	30.0	mg/L
NALMEFENE	NALMEFENE	CHEMBL982	100696	339.44	0.1	mg/L
NALOXONE	NALOXONE	CHEMBL80	6902	327.38	0.03	mg/L
NALTREXONE	NALTREXONE	CHEMBL19019	21459	341.41	0.05	mg/L
NAPROXEN	NAPROXEN	CHEMBL154	51056	230.26	100.0	mg/L
NARATRIPTAN	NARATRIPTAN	CHEMBL1278	250297	335.47	0.05	mg/L
NEBIVOLOL	NEBIVOLOL	CHEMBL434394	27569	405.44	0.2	mg/L
NEDOCROMIL	NEDOCROMIL	CHEMBL746	39540	371.35	0.025	mg/L
NEFAZODONE	NEFAZODONE	CHEMBL623	26465	470.02	0.3	mg/L
NEFOPAM	NEFOPAM	CHEMBL465026	458338	253.35	0.1	mg/L
NELFINAVIR	NELFINAVIR	CHEMBL584	17224	567.8	0.8	mg/L
NEOSTIGMINE	NEOSTIGMINE	CHEMBL278020	14126	223.3	0.01	mg/L
NETILMICIN	NETILMICIN	CHEMBL1572	453520	475.59	12.0	mg/L
NEVIRAPINE	NEVIRAPINE	CHEMBL57	4345	266.3	3.0	mg/L
NICOTINIC ACID	NIACIN	CHEMBL573	16656	123.11	18.0	mg/L
NICARDIPINE	NICARDIPINE	CHEMBL1484	407549	479.53	0.1	mg/L
NICOTINE	NICOTINE	CHEMBL3	115	162.24	0.03	mg/L
NIFEDIPINE	NIFEDIPINE	CHEMBL193	419596	346.34	0.15	mg/L
NIMESULIDE	NIMESULIDE	CHEMBL56367	85553	308.31	6.5	mg/L
NIMODIPINE	NIMODIPINE	CHEMBL1428	365248	418.45	0.05	mg/L
NISOLDIPINE	NISOLDIPINE	CHEMBL1726	554892	388.42	0.001	mg/L
NITRAZEPAM	NITRAZEPAM	CHEMBL13209	11745	281.27	0.1	mg/L
NITRENDIPINE	NITRENDIPINE	CHEMBL475534	453570	360.37	0.05	mg/L
NITROFURANTOIN	NITROFURANTOIN	CHEMBL572	16592	238.16	5.0	mg/L
NITROGLYCERIN	NITROGLYCERIN	CHEMBL730	37493	227.09	0.015	mg/L
NIZATIDINE	NIZATIDINE	CHEMBL3183075	1672366	331.47	1.0	mg/L
NOMIFENSINE	NOMIFENSINE	CHEMBL273575	16225	238.33	0.1	mg/L
NORFLOXACIN	NORFLOXACIN	CHEMBL9	246	319.34	5.0	mg/L
NORTRIPTYLINE	NORTRIPTYLINE	CHEMBL445	2262	263.38	0.15	mg/L
NOSCAPINE	NOSCAPINE	CHEMBL364713	320260	413.43	0.4	mg/L
OFLOXACIN	OFLOXACIN	CHEMBL4	146	361.37	5.5	mg/L
OLANZAPINE	OLANZAPINE	CHEMBL715	34197	312.44	0.08	mg/L
OMEPRAZOLE	OMEPRAZOLE	CHEMBL1503	419601	345.42	4.0	mg/L
ONDANSETRON	ONDANSETRON	CHEMBL46	3183	293.37	0.3	mg/L
ORPHENADRINE	ORPHENADRINE	CHEMBL900	77779	269.39	0.6	mg/L
OXATOMIDE	OXATOMIDE	CHEMBL13828	12890	426.56	0.1	mg/L
OXAZEPAM	OXAZEPAM	CHEMBL568	16506	286.72	1.5	mg/L
OXCARBAZEPINE	OXCARBAZEPINE	CHEMBL1068	139014	252.27	35.0	mg/L
OXPRENOLOL	OXPRENOLOL	CHEMBL546	13756	265.35	1.0	mg/L
4-HYDROXYBUTYRATE	OXYBATE	CHEMBL1342	286065	104.11	120.0	mg/L
OXYCODONE	OXYCODONE	CHEMBL656	27624	315.37	0.1	mg/L
OXYPHENBUTAZONE	OXYPHENBUTAZONE	CHEMBL1228	227917	324.38	100.0	mg/L
OXYPURINOL	OXYPURINOL	CHEMBL859	65935	152.11	15.0	mg/L
OXYTOCIN	OXYTOCIN	CHEMBL395429	392195	1007.21	0.0002	mg/L
PACLITAXEL	PACLITAXEL	CHEMBL428647	8062	853.92	6.8	mg/L
PALIPERIDONE	PALIPERIDONE	CHEMBL1621	468656	426.49	0.06	mg/L
PAMIDRONATE	PAMIDRONIC ACID	CHEMBL834	60401	235.07	0.25	mg/L
PANCURONIUM	PANCURONIUM	CHEMBL185073	306486	572.88	0.6	mg/L
PANTOPRAZOLE	PANTOPRAZOLE	CHEMBL1502	419598	383.38	6.0	mg/L
PAPAVERINE	PAPAVERINE	CHEMBL19224	21716	339.39	2.0	mg/L
PARALDEHYDE	PARALDEHYDE	CHEMBL1410743	834627	132.16	100.0	mg/L
PAROXETINE	PAROXETINE	CHEMBL490	6643	329.37	0.12	mg/L
PEFLOXACIN	PEFLOXACIN	CHEMBL267648	11474	333.36	6.0	mg/L
PEMOLINE	PEMOLINE	CHEMBL1177	193096	176.18	7.0	mg/L
PENBUTOLOL	PENBUTOLOL	CHEMBL1290	254975	291.44	1.0	mg/L
PENTAMIDINE	PENTAMIDINE	CHEMBL55	3965	340.43	0.5	mg/L
PENTAZOCINE	PENTAZOCINE	CHEMBL100116	165474	285.43	0.2	mg/L
PENTOBARBITAL	PENTOBARBITAL	CHEMBL448	2327	226.28	10.0	mg/L
PENTOXIFYLLINE	PENTOXIFYLLINE	CHEMBL628	27029	278.31	2.0	mg/L
PERHEXILINE	PERHEXILINE	CHEMBL75880	119288	277.5	0.6	mg/L
PERICIAZINE	PERICIAZINE	CHEMBL251940	418410	365.5	0.03	mg/L
PERINDOPRIL	PERINDOPRIL	CHEMBL1581	453579	368.47	0.15	mg/L
PERPHENAZINE	PERPHENAZINE	CHEMBL567	16505	403.98	0.0024	mg/L
PHENACETIN	PHENACETIN	CHEMBL16073	16498	179.22	20.0	mg/L
PHENDIMETRAZINE	PHENDIMETRAZINE	CHEMBL1615439	1038390	191.27	0.1	mg/L
PHENELZINE	PHENELZINE	CHEMBL1089	148018	136.2	0.04	mg/L
PHENFORMIN	PHENFORMIN	CHEMBL170988	282509	205.26	0.1	mg/L
PHENIRAMINE	PHENIRAMINE	CHEMBL1193	208661	240.35	0.27	mg/L
PHENMETRAZINE	PHENMETRAZINE	CHEMBL1201208	675159	177.25	0.25	mg/L
PHENOBARBITAL	PHENOBARBITAL	CHEMBL40	2217	232.24	40.0	mg/L
PHENPROCOUMON	PHENPROCOUMON	CHEMBL1465	394229	280.32	5.0	mg/L
PHENSUXIMIDE	PHENSUXIMIDE	CHEMBL797	49869	189.21	20.0	mg/L
PHENTERMINE	PHENTERMINE	CHEMBL1574	453532	149.24	0.1	mg/L
PHENYLBUTAZONE	PHENYLBUTAZONE	CHEMBL101	12417	308.38	100.0	mg/L
PHENYLEPHRINE	PHENYLEPHRINE	CHEMBL1215	219334	167.21	0.1	mg/L
PHENYLPROPANOLAMINE	PHENYLPROPANOLAMINE	CHEMBL61006	94091	151.21	0.5	mg/L
PHENYTOIN	PHENYTOIN	CHEMBL16	921	252.27	20.0	mg/L
PHOLCODINE	PHOLCODINE	CHEMBL2105224	1377494	398.5	0.2	mg/L
PHYSOSTIGMINE	PHYSOSTIGMINE	CHEMBL94	9277	275.35	0.005	mg/L
PIMOZIDE	PIMOZIDE	CHEMBL1423	364141	461.56	0.02	mg/L
PINDOLOL	PINDOLOL	CHEMBL500	8543	248.33	0.15	mg/L
PIPERACILLINE	PIPERACILLIN	CHEMBL702	33055	517.56	70.0	mg/L
PIPERAZINE	PIPERAZINE	CHEMBL1412	352917	86.14	0.1	mg/L
PIPOTIAZINE	PIPOTIAZINE PALMITATE	CHEMBL2106439	1378709	714.09	0.06	mg/L
PIRACETAM	PIRACETAM	CHEMBL36715	53623	142.16	50.0	mg/L
PIRENZEPINE	PIRENZEPINE	CHEMBL9967	6772	351.41	0.45	mg/L
PIROXICAM	PIROXICAM	CHEMBL527	11968	331.35	6.0	mg/L
PRACTOLOL	PRACTOLOL	CHEMBL6995	1380	266.34	5.0	mg/L
PRAJMALIUM	PRAJMALIUM	CHEMBL3833412	2096463	369.53	0.44	mg/L
PRAMIPEXOLE	PRAMIPEXOLE	CHEMBL301265	88815	211.33	0.006999999999999999	mg/L
PRAZEPAM	PRAZEPAM	CHEMBL969	95969	324.81	0.7	mg/L
PRAZIQUANTEL	PRAZIQUANTEL	CHEMBL976	99024	312.41	0.2	mg/L
PRAZOSIN	PRAZOSIN	CHEMBL2	97	383.41	0.02	mg/L
PREDNISOLONE	PREDNISOLONE	CHEMBL131	27370	360.45	1.0	mg/L
PREGABALIN	PREGABALIN	CHEMBL1059	136161	159.23	8.0	mg/L
PRILOCAINE	PRILOCAINE	CHEMBL1194	208749	220.32	2.0	mg/L
PRIMAQUINE	PRIMAQUINE	CHEMBL506	10389	259.35	0.2	mg/L
PRIMIDONE	PRIMIDONE	CHEMBL856	65728	218.26	15.0	mg/L
PROBENECID	PROBENECID	CHEMBL897	77474	285.37	150.0	mg/L
PROCAINAMIDE	PROCAINAMIDE	CHEMBL640	27341	235.33	12.0	mg/L
PROCAINE	PROCAINE	CHEMBL569	16581	236.31	15.0	mg/L
PROCHLORPERAZINE	PROCHLORPERAZINE	CHEMBL728	37266	373.95	0.05	mg/L
PROCYCLIDINE	PROCYCLIDINE	CHEMBL86715	139241	287.45	0.63	mg/L
PROMAZINE	PROMAZINE	CHEMBL564	16391	284.43	0.4	mg/L
PROMETHAZINE	PROMETHAZINE	CHEMBL643	27368	284.43	0.4	mg/L
PROPAFENONE	PROPAFENONE	CHEMBL631	27112	341.45	2.0	mg/L
PROPANTHELINE	PROPANTHELINE	CHEMBL1180725	654675	368.5	0.02	mg/L
PROPIOMAZINE	PROPIOMAZINE	CHEMBL1201210	675161	340.49	0.3	mg/L
PROPOFOL	PROPOFOL	CHEMBL526	11819	178.27	8.0	mg/L
DEXTROPROPOXYPHENE	PROPOXYPHENE	CHEMBL1213351	685193	339.48	0.5	mg/L
PROPRANOLOL	PROPRANOLOL	CHEMBL27	1370	259.35	0.3	mg/L
PROTHIPENDYL	PROTHIPENDYL	CHEMBL2111030	1383470	285.42	0.01	mg/L
PROTRIPTYLINE	PROTRIPTYLINE	CHEMBL668	28112	263.38	0.3	mg/L
PSEUDOEPHEDRINE	PSEUDOEPHEDRINE	CHEMBL1590	454076	165.24	0.8	mg/L
PYRAZINAMIDE	PYRAZINAMIDE	CHEMBL614	23522	123.11	75.0	mg/L
PYRIDOSTIGMINE	PYRIDOSTIGMINE	CHEMBL1115	157330	181.22	0.2	mg/L
PYRIDOXINE	PYRIDOXINE	CHEMBL1364	308201	169.18	0.018000000000000002	mg/L
PYRIMETHAMINE	PYRIMETHAMINE	CHEMBL36	2080	248.72	1.5	mg/L
QUAZEPAM	QUAZEPAM	CHEMBL1200472	674423	386.8	0.15	mg/L
QUETIAPINE	QUETIAPINE	CHEMBL716	34234	383.52	0.5	mg/L
QUINIDINE	QUINIDINE	CHEMBL1294	255477	324.42	5.0	mg/L
QUININE	QUININE	CHEMBL170	255947	324.42	7.0	mg/L
RABEPRAZOLE	RABEPRAZOLE	CHEMBL1219	222203	359.45	0.6	mg/L
RALTEGRAVIR	RALTEGRAVIR	CHEMBL254316	422253	444.42	0.11800000000000001	mg/L
RAMIPRIL	RAMIPRIL	CHEMBL1168	189203	416.52	0.04	mg/L
RANITIDINE	RANITIDINE	CHEMBL1790041	1153672	314.41	1.0	mg/L
REBOXETINE	REBOXETINE	CHEMBL14370	14263	313.4	0.35	mg/L
REMIFENTANIL	REMIFENTANIL	CHEMBL1005	111871	376.45	0.02	mg/L
REMOXIPRIDE	REMOXIPRIDE	CHEMBL22242	27616	371.28	2.15	mg/L
RETINOL	RETINOL	CHEMBL986	104574	286.46	0.8	mg/L
RIFABUTIN	RIFABUTIN	CHEMBL444633	397074	847.02	0.15	mg/L
RIFAMPICIN	RIFAMPIN	CHEMBL374478	365189	822.95	10.0	mg/L
RILUZOLE	RILUZOLE	CHEMBL744	38898	234.2	0.5	mg/L
RISPERIDONE	RISPERIDONE	CHEMBL85	7714	410.49	0.02	mg/L
RITONAVIR	RITONAVIR	CHEMBL163	88100	720.96	20.0	mg/L
RIVASTIGMINE	RIVASTIGMINE	CHEMBL636	27251	250.34	0.02	mg/L
RIZATRIPTAN	RIZATRIPTAN	CHEMBL905	79047	269.35	0.1	mg/L
ROCURONIUM	ROCURONIUM	CHEMBL1201244	675195	529.79	17.0	mg/L
ROPINIROLE	ROPINIROLE	CHEMBL589	19316	260.38	0.006	mg/L
ROSIGLITAZONE	ROSIGLITAZONE	CHEMBL121	20027	357.44	0.3	mg/L
ROXITHROMYCIN	ROXITHROMYCIN	CHEMBL1214185	686036	837.06	12.0	mg/L
SALICYLIC ACID	SALICYLIC ACID	CHEMBL424	1362	138.12	200.0	mg/L
SAQUINAVIR	SAQUINAVIR	CHEMBL114	17169	670.86	0.25	mg/L
SCOPOLAMINE	SCOPOLAMINE	CHEMBL1187846	661796	303.36	0.001	mg/L
SECOBARBITAL	SECOBARBITAL	CHEMBL447	2326	238.29	5.0	mg/L
SERTINDOLE	SERTINDOLE	CHEMBL12713	10813	440.95	0.1	mg/L
SERTRALINE	SERTRALINE	CHEMBL809	53616	306.24	0.25	mg/L
SEVOFLURANE	SEVOFLURANE	CHEMBL1200694	674645	200.05	134.0	mg/L
SIBUTRAMINE	SIBUTRAMINE	CHEMBL1419	358192	279.86	0.01	mg/L
SILDENAFIL	SILDENAFIL	CHEMBL192	410802	474.59	0.5	mg/L
SIMVASTATIN	SIMVASTATIN	CHEMBL1064	138562	418.57	0.0056	mg/L
SIROLIMUS	SIROLIMUS	CHEMBL413	923	914.19	0.03	mg/L
SITAGLIPTIN	SITAGLIPTIN	CHEMBL1422	363589	407.32	0.38	mg/L
THIOCYANATE FROM NITROPRUSSIDE	SODIUM NITROPRUSSIDE	CHEMBL136478	226851	261.92	30.0	mg/L
SOTALOL	SOTALOL	CHEMBL471	5528	272.37	4.0	mg/L
SPARTEINE	SPARTEINE	CHEMBL412873	11265	234.39	1.0	mg/L
SPIRAMYCIN	SPIRAMYCIN	CHEMBL453514	497011	843.06	3.0	mg/L
SPIRONOLACTONE	SPIRONOLACTONE	CHEMBL1393	328201	416.58	0.5	mg/L
STIRIPENTOL	STIRIPENTOL	CHEMBL1983350	1304641	234.29	10.0	mg/L
STREPTOMYCIN	STREPTOMYCIN	CHEMBL372795	334866	581.58	40.0	mg/L
SUFENTANIL	SUFENTANIL	CHEMBL658	27638	386.56	0.01	mg/L
SULBACTAM	SULBACTAM	CHEMBL403	194	233.24	80.0	mg/L
SULFAMETHOXAZOLE	SULFAMETHOXAZOLE	CHEMBL443	2247	253.28	200.0	mg/L
SULFASALAZINE	SULFASALAZINE	CHEMBL421	1223	398.4	70.0	mg/L
SULFINPYRAZONE	SULFINPYRAZONE	CHEMBL832	60232	404.49	17.0	mg/L
SULFISOXAZOLE	SULFISOXAZOLE	CHEMBL453	2484	267.31	100.0	mg/L
SULINDAC	SULINDAC	CHEMBL15770	16510	356.42	5.0	mg/L
SULPIRIDE	SULPIRIDE	CHEMBL26	1333	341.43	1.0	mg/L
SULTIAM	SULTHIAME	CHEMBL328560	151273	290.37	8.0	mg/L
SUMATRIPTAN	SUMATRIPTAN	CHEMBL128	27111	295.41	0.06	mg/L
TACRINE	TACRINE	CHEMBL95	9333	198.27	0.01	mg/L
TACROLIMUS	TACROLIMUS	CHEMBL269732	924	804.03	0.02	mg/L
TADALAFIL	TADALAFIL	CHEMBL779	44920	389.41	0.48	mg/L
TAMOXIFEN	TAMOXIFEN	CHEMBL83	6968	371.52	0.5	mg/L
TAPENTADOL	TAPENTADOL	CHEMBL1201776	675727	221.34	0.13	mg/L
TEICOPLANIN	TEICOPLANIN	CHEMBL2367892	1542343	1767.46	40.0	mg/L
TEMAZEPAM	TEMAZEPAM	CHEMBL967	95909	300.75	0.9	mg/L
TENOXICAM	TENOXICAM	CHEMBL302795	112102	337.38	10.0	mg/L
TERAZOSIN	TERAZOSIN	CHEMBL611	23093	387.44	0.08	mg/L
TERBINAFINE	TERBINAFINE	CHEMBL822	56831	291.44	3.0	mg/L
TERBUTALINE	TERBUTALINE	CHEMBL1760	583322	225.29	0.01	mg/L
TERFENADINE	TERFENADINE	CHEMBL17157	19569	471.69	0.01	mg/L
TETRACYCLINE	TETRACYCLINE	CHEMBL1440	373985	444.44	10.0	mg/L
TETRAZEPAM	TETRAZEPAM	CHEMBL2105527	1377797	288.78	1.0	mg/L
THALIDOMIDE	THALIDOMIDE	CHEMBL468	5028	258.23	8.0	mg/L
THEOPHYLLINE	THEOPHYLLINE	CHEMBL190	381693	180.17	20.0	mg/L
THIAMYLAL	THIAMYLAL	CHEMBL440	2132	254.35	5.0	mg/L
THIOPENTAL	THIOPENTAL	CHEMBL441	2166	242.34	5.0	mg/L
THIORIDAZINE	THIORIDAZINE	CHEMBL479	5970	370.59	1.25	mg/L
TIOTIXENE	THIOTHIXENE	CHEMBL1201	209829	443.64	0.013999999999999999	mg/L
