Original drug name	Original synonyms	Fu	PMID	inchi_key	SMILES
Carmustine	BCNU	0.23	PMID30115648	DLGOEMSEDOSKAD-UHFFFAOYSA-N	ClCCNC(=O)N(CCCl)N=O
Carnitine_L		1.0	PMID30115648	PHIQHXFUZVPYII-ZCFIWIBFSA-N	C([N+](C)(C)C)[C@@H](CC(=O)[O-])O
Carprofen		0.001	PMID30115648	PUXBGTOOZJQSKH-UHFFFAOYSA-N	CC(c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)O
Carumonam		0.72	PMID30115648	UIMOJFJSJSIGLV-JNHMLNOCSA-N	NC(=O)OC[C@@H]1[C@H](NC(=O)\C(=N/OCC(=O)O)\c2csc(N)n2)C(=O)N1S(=O)(=O)O
Carvedilol		0.02	PMID30115648	OGHNVEJMJSYVRP-UHFFFAOYSA-N	COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23
Casopitant		1.0	PMID30115648	XGGTZCKQRWXCHW-WMTVXVAQSA-N	c1(cc(cc(c1)[C@H](N(C(=O)N1CC[C@@H](C[C@@H]1c1c(cc(cc1)F)C)N1CCN(CC1)C(=O)C)C)C)C(F)(F)F)C(F)(F)F
Caspofungin		0.035	PMID30115648	JYIKNQVWKBUSNH-UHFFFAOYSA-N	CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(NCCN)NC(=O)C2C(O)CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(O)CN3C(=O)C(NC1=O)C(C)O)C(O)C(O)c4ccc(O)cc4)C(O)CCN
Cefadroxil		0.39	PMID30115648	BOEGTKLJZSQCCD-UEKVPHQBSA-N	CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O
Cefamandole		0.25	PMID30115648	OLVCFLKTBJRLHI-AXAPSJFSSA-N	Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(=O)O
Cefatrizine		0.4	PMID30115648	UOCJDOLVGGIYIQ-PBFPGSCMSA-N	N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3c[nH]nn3)c4ccc(O)cc4
Cefazolin		0.18	PMID30115648	MLYYVTUWGNIJIB-BXKDBHETSA-N	Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)O)s1
Cefepime		0.78	PMID30115648	HVFLCNVBZFFHBT-ZKDACBOMSA-N	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[N+]3(C)CCCC3)\c4csc(N)n4
Cefetamet		0.78	PMID30115648	MQLRYUCJDNBWMV-GHXIOONMSA-N	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C)\c3csc(N)n3
Cefixime		0.31	PMID30115648	OKBVVJOGVLARMR-QSWIMTSFSA-N	Nc1nc(cs1)\C(=N\OCC(=O)O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)C=C
Cefmenoxime		0.31	PMID30115648	HJJDBAOLQAWBMH-YIAKCIKCSA-N	N12[C@@H]([C@@H](NC(\C(c3csc(n3)N)=N/OC)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)C
Cefmetazole		0.15	PMID30115648	SNBUBQHDYVFSQF-HIFRSBDPSA-N	CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nnnn3C
Cefodizime		0.18	PMID30115648	XDZKBRJLTGRPSS-BGZQYGJUSA-N	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nc(C)c(CC(=O)O)s3)\c4csc(N)n4
Cefonicid		0.02	PMID30115648	DYAIAHUQIPBDIP-NORZTCDRSA-N	N12[C@@H]([C@@H](NC([C@@H](c3ccccc3)O)=O)C2=O)SCC(=C1C(O)=O)CSc1n(nnn1)CS(O)(=O)=O
Cefoperazone		0.07	PMID30115648	GCFBRXLSHGKWDP-XCGNWRKASA-N	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O
Ceforanide		0.19	PMID30115648	SLAYUXIURFNXPG-CRAIPNDOSA-N	NCc1ccccc1CC(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4CC(=O)O
Cefotaxime		0.6	PMID30115648	GPRBEKHLDVQUJE-QSWIMTSFSA-N	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)\c3csc(N)n3
Cefotetan		0.15	PMID30115648	SRZNHPXWXCNNDU-RHBCBLIFSA-N	CO[C@]1(NC(=O)C2SC(=C(C(=O)N)C(=O)O)S2)[C@H]3SCC(=C(N3C1=O)C(=O)O)CSc4nnnn4C
Cefotiam		0.5	PMID30115648	QYQDKDWGWDOFFU-IUODEOHRSA-N	CN(C)CCn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cc4csc(N)n4)C3=O)C(=O)O
Cefoxitin		0.73	PMID30115648	WZOZEZRFJCJXNZ-ZBFHGGJFSA-N	CO[C@]1(NC(=O)Cc2cccs2)[C@H]3SCC(=C(N3C1=O)C(=O)O)COC(=O)N
Cefozopran		0.74	PMID30115648	UWSSBHYGIMWWEI-YVEFUNNKSA-N	[H]N([H])c1nc(C(C(N([H])[C@H]2C(N3C(=C(CN4C=CN5C4=CC=C[N-]5)CS[C@H]23)C(=O)O[H])=O)=O)=NOC)ns1
Cefpiramide		0.03	PMID30115648	PWAUCHMQEXVFJR-PMAPCBKXSA-N	O=C2N1/C(=C(\CS[C@@H]1[C@@H]2NC(=O)[C@@H](c3ccc(O)cc3)NC(=O)C\4=C\N\C(=C/C/4=O)C)CSc5nnnn5C)C(=O)O
Cefpirome		0.9	PMID30115648	DKOQGJHPHLTOJR-WHRDSVKCSA-N	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3cccc4CCCc34)\c5csc(N)n5
Cefprozil		0.59	PMID30115648	WDLWHQDACQUCJR-ZAMMOSSLSA-N	C\C=C\C1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O
Cefroxadin		0.1	PMID30115648	RDMOROXKXONCAL-UEKVPHQBSA-N	COC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O
Ceftaroline fosamil		0.8	PMID30115648	ZCCUWMICIWSJIX-NQJJCJBVSA-N	C1(=O)[C@H]([C@@H]2N1C(=C(CS2)Sc1scc(n1)c1cc[n+](cc1)C)C(=O)[O-])NC(=O)/C(=N\OCC)c1nc(sn1)NP(=O)(O)O
Ceftazidime		0.79	PMID30115648	ORFOPKXBNMVMKC-DWVKKRMSSA-N	CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3ccccc3)\c4csc(N)n4)C(=O)O
Ceftizoxime		0.72	PMID30115648	NNULBSISHYWZJU-LLKWHZGFSA-N	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(=O)O)\c3csc(N)n3
Ceftobiprole		0.62	PMID30115648	VOAZJEPQLGBXGO-SDAWRPRTSA-N	Nc1nc(ns1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN([C@@H]5CCNC5)C4=O
Ceftolozane		0.81	PMID30115648	NBGIMROYIXKDMO-JGLUGXPQSA-N	NCCNC(=O)NC4=CN(CC=3CS[C@H]2N(C(=O)[C@H]2NC(=O)C(=N\OC(C)(C)C(=O)O)/c1nc(N)sn1)C=3C(=O)O)N(C)C4=N
Ceftriaxone		0.1	PMID30115648	VAAUVRVFOQPIGI-SPQHTLEESA-N	Cn1c(nc(=O)c(n1)O)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O
Cefuzonam		0.12	PMID30115648	CXHKZHZLDMQGFF-HAHOGDSESA-N	s1c(cnn1)SCC1=C(N2[C@H](SC1)[C@@H](NC(\C(c1csc(n1)N)=N/OC)=O)C2=O)C(=O)O
Cephalexin		0.85	PMID30115648	ZAIPMKNFIOOWCQ-UEKVPHQBSA-N	CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(=O)O
Cephaloridine		0.8	PMID30115648	CZTQZXZIADLWOZ-CRAIPNDOSA-N	[O-]C(=O)C1=C(C[n+]2ccccc2)CS[C@@H]3[C@H](NC(=O)Cc4cccs4)C(=O)N13
Cephalothin		0.22	PMID30115648	XIURVHNZVLADCM-IUODEOHRSA-N	CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)O
Cephapirin		0.55	PMID30115648	UQLLWWBDSUHNEB-CZUORRHYSA-N	CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(=O)O
Cephradine		0.95	PMID30115648	RDLPVSKMFDYCOR-UEKVPHQBSA-N	CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C2=O)C(=O)O
Cerivastatin		0.01	PMID30115648	SEERZIQQUAZTOL-ANMDKAQQSA-N	COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c1c2ccc(F)cc2)C(C)C
Cetrorelix		0.14	PMID30115648	SBNPWPIBESPSIF-MHWMIDJBSA-N	CC(C)C[C@H](NC(=O)[C@@H](CCCNC(=O)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc2cccnc2)NC(=O)[C@@H](Cc3ccc(Cl)cc3)NC(=O)[C@@H](Cc4ccc5ccccc5c4)NC(=O)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N6CCC[C@H]6C(=O)N[C@H](C)C(=O)N
Chlorambucil		0.01	PMID30115648	JCKYGMPEJWAADB-UHFFFAOYSA-N	OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
Chloramphenicol		0.34	PMID30115648	WIIZWVCIJKGZOK-RKDXNWHRSA-N	OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)N(=O)=O
Chlordiazepoxide		0.056	PMID30115648	ANTSCNMPPGJYLG-UHFFFAOYSA-N	CNC1=Nc2ccc(Cl)cc2C(=N(=O)C1)c3ccccc3
Chlormethiazole		0.36	PMID30115648	PCLITLDOTJTVDJ-UHFFFAOYSA-N	Cc1ncsc1CCCl
Chloroquine		0.43	PMID30115648	WHTVZRBIWZFKQO-UHFFFAOYSA-N	CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
Chlorpheniramine		0.7	PMID30115648	SOYKEARSMXGVTM-UHFFFAOYSA-N	CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2
Chlorpromazine		0.056	PMID30115648	ZPEIMTDSQAKGNT-UHFFFAOYSA-N	CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
Chlorpropamide		0.03	PMID30115648	RKWGIWYCVPQPMF-UHFFFAOYSA-N	CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
Chlortetracycline		0.52	PMID30115648	CYDMQBQPVICBEU-XRNKAMNCSA-N	CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)ccc(Cl)c4[C@@]3(C)O
Chlorthalidone		0.24	PMID30115648	JIVPVXMEBJLZRO-UHFFFAOYSA-N	NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23
Cibenzoline		0.5	PMID30115648	IPOBOOXFSRWSHL-UHFFFAOYSA-N	C1CN=C(N1)C2CC2(c3ccccc3)c4ccccc4
Ciclesonide		0.01	PMID30115648	LUKZNWIVRBCLON-CIRCSGMQSA-N	C1(C=C[C@@]2([C@H]3[C@H](C[C@@]4([C@@]5([C@@H](C[C@@H]4[C@@H]3CCC2=C1)O[C@H](C1CCCCC1)O5)C(COC(C(C)C)=O)=O)C)O)C)=O
Cidofovir		1.0	PMID30115648	VWFCHDSQECPREK-LURJTMIESA-N	NC1=NC(=O)N(C[C@@H](CO)OCP(=O)(O)O)C=C1
Cilastatin		0.6	PMID30115648	DHSUYTOATWAVLW-WFVMDLQDSA-N	CC1(C)C[C@@H]1C(=O)N\C(=C/CCCCSC[C@H](N)C(=O)O)\C(=O)O
Cilomilast		0.006	PMID30115648	CFBUZOUXXHZCFB-OYOVHJISSA-N	COc1ccc(cc1OC2CCCC2)[C@@]3(CC[C@H](CC3)C(=O)O)C#N
Cimetidine		0.78	PMID30115648	AQIXAKUUQRKLND-UHFFFAOYSA-N	CN\C(=N/CCSCc1nc[nH]c1C)\NC#N
Cinacalcet 		0.05	PMID30115648	VDHAWDNDOKGFTD-MRXNPFEDSA-N	c1cccc2cccc(c12)[C@H](NCCCc1cc(C(F)(F)F)ccc1)C
Ciprofloxacin		0.7	PMID30115648	MYSWGUAQZAJSOK-UHFFFAOYSA-N	OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O
Cisapride		0.02	PMID30115648	DCSUBABJRXZOMT-RBBKRZOGSA-N	c1(c(cc(N)c(c1)Cl)OC)C(N[C@@H]1[C@@H](C[N@@](CCCOc2ccc(F)cc2)CC1)OC)=O
Cisatracurium		0.62	PMID30115648	YXSLJKQTIDHPOT-LJCJQEJUSA-N	COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]4(C)CCc5cc(OC)c(OC)cc5[C@H]4Cc6ccc(OC)c(OC)c6)cc1OC
Citalopram		0.2	PMID30115648	WSEQXVZVJXJVFP-UHFFFAOYSA-N	CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3
Cladribine		0.79	PMID30115648	PTOAARAWEBMLNO-KVQBGUIXSA-N	Nc1nc(Cl)nc2c1ncn2[C@H]3C[C@H](O)[C@@H](CO)O3
Clarithromycin		0.23	PMID30115648	AGOYDEPGAOXOCK-KCBOHYOISA-N	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC
Clavulanic Acid		0.91	PMID30115648	HZZVJAQRINQKSD-PBFISZAISA-N	OC\C=C\1/O[C@@H]2CC(=O)N2[C@H]1C(=O)O
Clazosentan		0.02	PMID30115648	LFWCJABOXHSRGC-UHFFFAOYSA-N	[H]N(c1c(c(nc(c2ccnc(c2)c2nnnn2[H])n1)OCCO[H])Oc1ccccc1OC)S(c1ccc(C)cn1)(=O)=O
Clentiazem		0.1	PMID30115648	GYKFWCDBQAFCLJ-RTWAWAEBSA-N	c1([C@H]2[C@H](C(N(CCN(C)C)c3c(cc(cc3)Cl)S2)=O)OC(C)=O)ccc(OC)cc1
Clevidipine		0.0038	PMID30115648	KPBZROQVTHLCDU-UHFFFAOYSA-N	CCCC(=O)OCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C
Clinafloxacin		0.96	PMID30115648	QGPKADBNRMWEQR-UHFFFAOYSA-N	NC1CCN(C1)c2c(F)cc3C(=O)C(=CN(C4CC4)c3c2Cl)C(=O)O
Clindamycin		0.06	PMID30115648	KDLRVYVGXIQJDK-AWPVFWJPSA-N	CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O
Clodronate		0.64	PMID30115648	ACSIXWWBWUQEHA-UHFFFAOYSA-N	C(P(O)(O)=O)(P(O)(O)=O)(Cl)Cl
Clofarabine		0.53	PMID30115648	WDDPHFBMKLOVOX-AYQXTPAHSA-N	n1c(N)c2c(nc1Cl)n([C@H]1[C@H]([C@@H]([C@H](O1)CO)O)F)cn2
Clomipramine		0.029	PMID30115648	GDLIGKIOYRNHDA-UHFFFAOYSA-N	CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13
Clonazepam		0.15	PMID30115648	DGBIGWXXNGSACT-UHFFFAOYSA-N	Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O
Clonidine		0.56	PMID30115648	GJSURZIOUXUGAL-UHFFFAOYSA-N	Clc1cccc(Cl)c1NC2=NCCN2
Clopidogrel		0.02	PMID30115648	GKTWGGQPFAXNFI-HNNXBMFYSA-N	COC(=O)[C@H](c1ccccc1Cl)N2CCc3c(ccs3)C2
Clozapine		0.055	PMID30115648	QZUDBNBUXVUHMW-UHFFFAOYSA-N	CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24
Cobimetinib		0.05	PMID30115648	BSMCAPRUBJMWDF-KRWDZBQOSA-N	c1cc(c(cc1I)F)Nc2c(ccc(c2F)F)C(=O)N3CC(C3)([C@@H]4CCCCN4)O
Cocaethylene		0.64	PMID30115648	NMPOSNRHZIWLLL-XUWVNRHRSA-N	CCOC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3
Cocaine		0.12	PMID30115648	ZPUCINDJVBIVPJ-LJISPDSOSA-N	COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3
Codeine		0.7	PMID30115648	OROGSEYTTFOCAN-DNJOTXNNSA-N	COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C
Colchicine		0.61	PMID30115648	IAKHMKGGTNLKSZ-INIZCTEOSA-N	COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C
Combretastatin A4 Phosphate		0.23	PMID30115648	WDOGQTQEKVLZIJ-WAYWQWQTSA-N	c1(cc(c(c(c1)OC)OC)OC)/C=C\c1ccc(c(c1)OP(=O)(O)O)OC
Conivaptan		0.01	PMID30115648	IKENVDNFQMCRTR-UHFFFAOYSA-N	Cc1nc2CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6c2[nH]1
Coumarin		0.17	PMID30115648	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N	c12c(ccc(o1)=O)cccc2
CP-65207		0.9	PMID30115648	FLSUCZWOEMTFAQ-DSWHJBPTSA-M	C1(N2C(=C(S[C@@H]3C[S@@](CC3)=O)S[C@H]2[C@H]1[C@H](O)C)C([O-])=O)=O
Crizotinib		0.09	PMID30115648	KTEIFNKAUNYNJU-GFCCVEGCSA-N	C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4
Cyclophosphamide		0.87	PMID30115648	CMSMOCZEIVJLDB-UHFFFAOYSA-N	ClCCN(CCCl)P1(=O)NCCCO1
Cyclosporine		0.068	PMID30115648	PMATZTZNYRCHOR-LQJDIJJQSA-N	CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
Cytarabine		0.87	PMID30115648	UHDGCWIWMRVCDJ-CCXZUQQUSA-N	[H]N([H])C1C=CN(C(N=1)=O)[C@H]1[C@H]([C@@H]([C@@H](CO[H])O1)O[H])O[H]
Dabigatran		0.65	PMID30115648	YBSJFWOBGCMAKL-UHFFFAOYSA-N	[H]N=C(c1ccc(cc1)N([H])Cc1nc2cc(ccc2n1C)C(N(CCC(=O)O[H])c1ccccn1)=O)N([H])[H]
Dabrafenib		0.003	PMID30115648	BFSMGDJOXZAERB-UHFFFAOYSA-N	CC(C)(C)c1nc(c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(s1)c4ccnc(N)n4
Dacarbazine		1.0	PMID30115648	FDKXTQMXEQVLRF-UHFFFAOYSA-N	CN(C)N=Nc1nc[nH]c1C(=O)N
Dacinostat		0.23	PMID30115648	BWDQBBCUWLSASG-MDZDMXLPSA-N	c1ccc2c(c1)c(c[nH]2)CCN(CCO)Cc3ccc(cc3)/C=C/C(=O)NO
Daclatasvir		0.01	PMID30115648	FKRSSPOQAMALKA-CUPIEXAXSA-N	COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c2ncc([nH]2)c3ccc(cc3)c4ccc(cc4)c5cnc([nH]5)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C
Dalbavancin		0.02	PMID30115648	KGPGQDLTDHGEGT-SZUNQUCBSA-N	CN[C@H]1C(=O)N[C@@H]2Cc3ccc(Oc4cc5cc(Oc6ccc(cc6Cl)[C@@H](O)[C@@H]7NC(=O)[C@H](NC(=O)[C@@H]5NC(=O)[C@@H](NC2=O)c8cc(Oc9cc1ccc9O)cc(O)c8Cl)c%10ccc(O)c(c%10)c%11c(O[C@H]%12O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]%12O)cc(O)cc%11[C@H](NC7=O)C(=O)NCCCN(C)C)c4O[C@@H]%13O[C@@H]([C@@H](O)[C@H](O)[C@H]%13NC(=O)CCCCCCCCC(C)C)C(=O)O)cc3
Dalfampridine		1.0	PMID30115648	NUKYPUAOHBNCPY-UHFFFAOYSA-N	c1(ccncc1)N
Dalfopristin		0.82	PMID30115648	SUYRLXYYZQTJHF-FENKCRFESA-N	CCN(CC)CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@@H](C(C)C)[C@H](C)\C=C\C(=O)NC\C=C/C(=C/[C@@H](O)CC(=O)Cc3occ(n3)C2=O)/C
Danoprevir		0.02	PMID30115648	ZVTDLPBHTSMEJZ-JSZLBQEHSA-N	CC(C)(C)OC(=O)N[C@H]1CCCCC\C=C/[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O)N4Cc5cccc(F)c5C4)C(=O)NS(=O)(=O)C6CC6
Dapagliflozin		0.09	PMID30115648	JVHXJTBJCFBINQ-AWGDKMGJSA-N	[C@H]1([C@H]([C@@H]([C@H](C(O1)c1ccc(c(c1)Cc1ccc(cc1)OCC)Cl)O)O)O)CO
Dapsone		0.25	PMID30115648	MQJKPEGWNLWLTK-UHFFFAOYSA-N	Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2
Daptomycin		0.083	PMID30115648	DOAKLVKFURWEDJ-GAOVLAQQSA-N	CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@@H](C)OC(=O)[C@H](CC(=O)c4ccccc4N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](C)NC(=O)C(CC(=O)O)NC(=O)[C@H](CCCN)NC(=O)CNC3=O)[C@H](C)CC(=O)O
Darifenacin		0.02	PMID30115648	HXGBXQDTNZMWGS-RUZDIDTESA-N	NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5
Darunavir		0.05	PMID30115648	CJBJHOAVZSMMDJ-HEXNFIEUSA-N	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N
Dasabuvir		0.005	PMID30115648	NBRBXGKOEOGLOI-UHFFFAOYSA-N	CC(C)(C)c1cc(cc(c1OC)c2ccc3cc(ccc3c2)NS(=O)(=O)C)n4ccc(=O)[nH]c4=O
Daunorubicin		0.06	PMID30115648	STQGQHZAVUOBTE-VGBVRHCVSA-N	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)C)O)N)O
Decitabine		1.0	PMID30115648	XAUDJQYHKZQPEU-KVQBGUIXSA-N	NC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C@@H](CO)O2
Deferasirox		0.004	PMID30115648	BOFQWVMAQOTZIW-UHFFFAOYSA-N	[H]OC(c1ccc(cc1)n1c(c2ccccc2O[H])nc(c2ccccc2O[H])n1)=O
Degarelix		0.1	PMID30115648	MEUCPCLKGZSHTA-VNFLKSSCSA-N	c1(cc2ccccc2cc1)C[C@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](CO)C(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H](C(N1[C@@H](C(N[C@@H](C(N)=O)C)=O)CCC1)=O)CCCCNC(C)C)=O)CC(C)C)=O)Cc1ccc(cc1)NC(N)=O)=O)Cc1ccc(cc1)NC([C@H]1CC(NC(N1)=O)=O)=O)=O)=O)Cc1cnccc1)=O)Cc1ccc(cc1)Cl)=O)NC(C)=O
Delafloxacin		0.16	PMID30115648	DYDCPNMLZGFQTM-UHFFFAOYSA-N	c1c2c(c(c(c1F)N3CC(C3)O)Cl)n(cc(c2=O)C(=O)O)c4c(cc(c(n4)N)F)F
Delorazepam	Chlordesmethyldiazepam	0.0509999999999999	PMID30115648	CHIFCDOIPRCHCF-UHFFFAOYSA-N	Clc1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1
Demethylchlortetracycline		0.59	PMID30115648	FMTDIUIBLCQGJB-SEYHBJAFSA-N	CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N
Deramciclane		0.05	PMID30115648	QOBGWWQAMAPULA-RLLQIKCJSA-N	C[C@@]12CC[C@@H](C1(C)C)C[C@@]2(c3ccccc3)OCCN(C)C
Desipramine		0.16	PMID30115648	HCYAFALTSJYZDH-UHFFFAOYSA-N	CNCCCN1c2ccccc2CCc3ccccc13
Desmethyldiazepam		0.03	PMID30115648	AKPLHCDWDRPJGD-UHFFFAOYSA-N	Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1
Desvenlafaxine		0.7	PMID30115648	KYYIDSXMWOZKMP-OAHLLOKOSA-N	c1cc(ccc1O)[C@@H](CN(C)C)C1(CCCCC1)O
Dexamethasone		0.32	PMID30115648	UREBDLICKHMUKA-CXSFZGCWSA-N	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
Dexfenfluramine		0.66	PMID30115648	DBGIVFWFUFKIQN-VIFPVBQESA-N	CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F
Dexloxiglumide		0.024	PMID30115648	QNQZBKQEIFTHFZ-GOSISDBHSA-N	CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1
Dexmedetomidine		0.06	PMID30115648	CUHVIMMYOGQXCV-NSHDSACASA-N	C[C@H](c1c[nH]cn1)c2cccc(C)c2C
